Distance_(pixels),Gray_Value
0,34.000
1,33.994
2,33.661
3,33.658
4,33.654
5,33.651
6,33.648
7,33.645
8,33.642
9,33.639
10,33.636
11,34.566
12,34.557
13,34.587
14,34.915
15,34.954
16,35.236
17,35.844
18,35.890
19,36.493
20,36.545
21,36.872
22,36.933
23,37.789
24,38.040
25,38.181
26,38.841
27,39.086
28,39.410
29,39.823
30,40.392
31,40.716
32,41.138
33,41.465
34,42.355
35,42.679
36,43.447
37,43.994
38,44.652
39,45.524
40,46.178
41,47.166
42,47.692
43,48.344
44,48.995
45,49.784
46,50.298
47,50.949
48,51.267
49,51.585
50,52.084
51,52.555
52,52.698
53,53.019
54,53.176
55,53.160
56,53.478
57,53.463
58,53.448
59,53.766
60,53.901
61,54.069
62,54.243
63,54.564
64,54.552
65,54.674
66,54.861
67,55.310
68,55.295
69,55.491
70,55.478
71,55.683
72,55.674
73,55.552
74,55.537
75,55.417
76,55.405
77,55.158
78,54.857
79,54.276
80,54.267
81,53.925
82,53.249
83,52.653
84,52.307
85,51.814
86,51.475
87,51.068
88,50.463
89,49.851
90,49.392
91,49.055
92,48.438
93,47.815
94,47.759
95,47.377
96,47.040
97,46.741
98,46.402
99,46.395
100,46.028
101,46.025
102,46.000
103,45.685
104,45.667
105,45.667
106,45.343
107,45.333
108,45.004
109,44.667
110,44.667
111,44.667
112,44.667
113,44.655
114,44.652
115,44.333
116,44.333
117,44.643
118,44.667
119,44.667
120,45.267
121,45.333
122,45.333
123,45.333
124,45.333
125,45.333
126,45.615
127,45.612
128,45.333
129,45.333
130,45.333
131,45.333
132,45.000
133,45.000
134,45.333
135,45.412
136,45.667
137,45.667
138,46.333
139,47.091
140,47.427
141,48.333
142,48.767
143,49.667
144,50.440
145,51.109
146,51.667
147,52.667
148,53.000
149,53.333
150,54.000
151,54.128
152,54.333
153,54.333
154,54.333
155,54.333
156,54.190
157,53.854
158,54.000
159,54.000
160,54.356
161,54.683
162,55.172
163,55.502
164,55.998
165,56.830
166,57.653
167,58.647
168,59.974
169,61.119
170,62.443
171,63.478
172,64.950
173,65.944
174,67.406
175,68.397
176,69.388
177,70.379
178,71.282
179,71.814
180,72.567
181,73.009
182,73.110
183,73.098
184,73.315
185,73.537
186,73.630
187,73.383
188,73.370
189,72.935
190,72.679
191,72.667
192,72.655
193,72.565
194,72.297
195,72.285
196,72.273
197,72.261
198,72.248
199,72.177
200,72.168
201,71.878
202,71.866
203,71.854
204,71.552
205,71.537
206,71.446
207,71.138
208,71.126
209,71.114
210,70.768
211,70.734
212,69.763
213,69.398
214,69.040
215,68.374
216,68.028
217,67.020
218,66.670
219,65.656
220,64.975
221,63.959
222,63.277
223,62.262
224,61.264
225,60.252
226,58.930
227,58.227
228,57.215
229,56.536
230,55.524
231,54.845
232,53.791
233,52.866
234,51.904
235,51.514
236,51.172
237,50.553
238,50.213
239,49.874
240,49.534
241,49.459
242,49.522
243,49.441
244,49.177
245,49.170
246,49.080
247,48.825
248,48.728
249,48.240
250,47.807
251,47.601
252,47.128
253,46.561
254,46.449
255,46.109
256,45.873
257,45.646
258,45.303
259,44.876
260,44.873
261,44.870
262,44.867
263,44.864
264,44.861
265,44.858
266,45.000
267,45.554
268,45.697
269,46.024
270,46.509
271,46.839
272,47.169
273,47.667
274,48.660
275,49.160
276,49.824
277,50.821
278,51.667
279,52.296
280,53.145
281,54.093
282,54.945
283,55.605
284,56.266
285,56.926
286,57.587
287,58.247
288,58.695
289,59.353
290,59.896
291,60.556
292,61.442
293,61.877
294,62.538
295,63.433
296,64.667
297,65.520
298,66.423
299,67.420
300,68.168
301,69.081
302,70.078
303,71.150
304,72.072
305,73.069
306,73.798
307,74.729
308,75.452
309,76.390
310,76.774
311,77.202
312,78.095
313,78.755
314,79.375
315,79.819
316,80.439
317,81.064
318,81.449
319,82.385
320,82.735
321,83.040
322,83.401
323,84.041
324,84.032
325,84.682
326,84.676
327,84.671
328,84.994
329,84.982
330,84.969
331,84.957
332,84.945
333,84.599
334,84.274
335,84.265
336,84.255
337,84.217
338,84.205
339,83.561
340,83.552
341,82.959
342,82.911
343,82.572
344,82.465
345,81.560
346,81.277
347,80.881
348,80.541
349,80.202
350,79.794
351,79.523
352,79.517
353,79.178
354,78.919
355,78.916
356,79.159
357,78.910
358,78.907
359,78.667
360,78.099
361,77.333
362,76.895
363,76.000
364,75.333
365,74.000
366,73.000
367,71.667
368,70.000
369,69.000
370,67.667
371,66.799
372,65.803
373,65.472
374,65.142
375,65.333
376,65.000
377,65.000
378,66.000
379,66.000
380,67.000
381,67.667
382,68.167
383,68.667
384,69.333
385,69.667
386,70.000
387,70.000
388,69.667
389,69.188
390,69.000
391,68.667
392,68.197
393,67.867
394,67.667
395,67.333
396,67.333
397,67.000
398,67.215
399,67.333
400,67.776
401,68.000
402,68.333
403,68.667
404,69.333
405,70.237
406,70.906
407,71.243
408,72.246
409,72.916
410,73.504
411,73.922
412,74.774
413,75.261
414,75.597
415,76.201
416,77.207
417,77.880
418,78.276
419,79.225
420,79.616
421,80.904
422,81.910
423,82.292
424,83.295
425,84.262
426,84.967
427,86.304
428,87.307
429,87.977
430,89.000
431,90.316
432,91.305
433,91.667
434,92.325
435,93.328
436,93.333
437,93.331
438,93.329
439,93.000
440,92.990
441,92.974
442,92.634
443,92.609
444,91.667
445,91.641
446,91.610
447,91.604
448,90.965
449,90.962
450,90.959
451,91.290
452,91.287
453,91.900
454,92.175
455,92.832
456,93.215
457,93.605
458,93.935
459,94.462
460,94.524
461,94.592
462,94.845
463,94.839
464,94.750
465,94.407
466,94.398
467,94.296
468,94.046
469,93.938
470,93.593
471,92.809
472,92.461
473,92.223
474,91.877
475,91.316
476,90.853
477,90.718
478,90.081
479,89.612
480,88.804
481,88.125
482,86.918
483,86.242
484,84.900
485,83.743
486,82.548
487,81.539
488,80.510
489,79.521
490,78.674
491,77.836
492,76.995
493,75.817
494,74.633
495,73.644
496,72.790
497,71.596
498,70.625
499,69.953
500,68.947
501,68.214
502,67.467
503,66.595
504,66.128
505,65.041
506,64.333
507,63.667
508,62.782
509,62.333
510,61.667
511,61.333
512,61.897
513,62.333
514,62.667
515,63.667
516,64.576
517,65.333
518,66.333
519,67.251
520,68.667
521,70.000
522,71.000
523,72.667
524,74.000
525,75.333
526,76.061
527,77.333
528,78.000
529,78.385
530,79.000
531,79.333
532,79.333
533,80.000
534,80.928
535,81.634
536,82.333
537,83.000
538,83.952
539,84.958
540,85.631
541,86.637
542,87.322
543,87.991
544,88.994
545,90.326
546,91.000
547,92.004
548,92.993
549,93.667
550,94.000
551,94.667
552,95.000
553,95.333
554,95.975
555,96.305
556,96.938
557,97.633
558,98.000
559,98.333
560,99.000
561,99.287
562,99.901
563,100.000
564,100.278
565,100.883
566,101.272
567,101.602
568,102.266
569,102.859
570,103.000
571,103.256
572,103.840
573,103.917
574,104.000
575,104.244
576,104.241
577,104.143
578,104.333
579,104.565
580,104.562
581,104.893
582,104.890
583,104.887
584,104.883
585,104.761
586,104.421
587,104.082
588,103.871
589,103.868
590,103.397
591,103.391
592,103.192
593,102.856
594,102.853
595,102.366
596,102.360
597,101.844
598,101.681
599,101.504
600,101.336
601,101.165
602,100.828
603,100.476
604,100.134
605,99.639
606,99.116
607,98.480
608,97.431
609,96.281
610,95.275
611,94.468
612,93.131
613,91.718
614,90.459
615,89.122
616,87.786
617,86.449
618,84.667
619,83.110
620,81.667
621,80.104
622,78.434
623,77.000
624,75.428
625,73.758
626,72.422
627,70.419
628,68.749
629,67.667
630,66.333
631,65.333
632,64.596
633,63.667
634,63.333
635,62.939
636,62.884
637,62.890
638,63.178
639,63.618
640,64.242
641,64.957
642,66.254
643,67.297
644,68.633
645,69.939
646,71.306
647,72.951
648,74.312
649,76.593
650,77.969
651,79.309
652,80.973
653,81.994
654,83.330
655,84.667
656,86.006
657,87.339
658,88.676
659,89.691
660,91.031
661,92.352
662,93.355
663,94.382
664,95.667
665,96.394
666,98.000
667,98.667
668,99.746
669,101.000
670,102.000
671,102.667
672,103.437
673,104.388
674,105.058
675,105.728
676,107.000
677,107.468
678,108.333
679,109.000
680,110.000
681,110.667
682,111.416
683,111.838
684,112.667
685,113.333
686,114.000
687,114.431
688,115.101
689,115.667
690,115.774
691,116.000
692,116.000
693,116.116
694,116.333
695,116.333
696,116.459
697,116.667
698,116.465
699,116.333
700,116.333
701,116.333
702,116.333
703,116.147
704,116.184
705,116.181
706,116.178
707,116.175
708,116.172
709,116.168
710,116.331
711,116.162
712,116.333
713,116.333
714,116.153
715,116.000
716,115.814
717,115.667
718,115.474
719,115.333
720,115.135
721,114.597
722,114.333
723,114.000
724,113.245
725,112.786
726,112.450
727,111.447
728,110.888
729,110.107
730,109.438
731,108.768
732,107.765
733,106.619
734,106.000
735,105.089
736,103.839
737,102.916
738,102.160
739,101.487
740,100.555
741,99.546
742,98.802
743,98.129
744,97.456
745,96.450
746,96.111
747,95.771
748,95.148
749,94.713
750,94.377
751,93.454
752,93.037
753,93.034
754,92.395
755,92.056
756,91.692
757,91.689
758,91.667
759,91.667
760,91.359
761,91.676
762,92.000
763,92.337
764,93.001
765,94.333
766,95.333
767,97.000
768,98.012
769,99.681
770,101.036
771,102.354
772,104.024
773,105.360
774,106.727
775,107.766
776,109.108
777,110.118
778,111.460
779,112.379
780,113.097
781,113.821
782,114.497
783,115.115
784,115.515
785,116.127
786,116.800
787,117.209
788,117.552
789,118.227
790,118.491
791,119.164
792,119.418
793,119.509
794,120.182
795,120.427
796,121.000
797,121.333
798,121.770
799,122.333
800,122.333
801,122.779
802,123.333
803,123.667
804,123.878
805,124.125
806,124.461
807,125.000
808,125.333
