Distance_(pixels),Gray_Value
0,81.667
1,81.413
2,81.137
3,80.907
4,80.654
5,80.344
6,79.747
7,79.560
8,79.307
9,79.054
10,78.801
11,78.878
12,78.822
13,78.559
14,78.624
15,78.524
16,78.250
17,78.302
18,77.702
19,77.422
20,76.818
21,76.116
22,75.517
23,74.919
24,73.785
25,73.106
26,72.786
27,72.220
28,71.299
29,70.672
30,70.043
31,69.430
32,68.810
33,68.148
34,67.515
35,66.623
36,65.920
37,64.811
38,63.993
39,63.355
40,62.519
41,61.892
42,61.453
43,60.998
44,60.844
45,60.872
46,60.907
47,60.941
48,61.410
49,61.987
50,62.549
51,63.614
52,64.485
53,65.499
54,67.158
55,68.209
56,69.549
57,70.888
58,71.936
59,72.964
60,73.986
61,74.981
62,75.395
63,76.287
64,76.512
65,77.188
66,77.573
67,78.255
68,78.955
69,79.341
70,80.147
71,81.045
72,81.565
73,82.289
74,83.167
75,84.255
76,85.274
77,86.014
78,86.634
79,87.454
80,88.331
81,89.087
82,89.522
83,89.935
84,90.658
85,90.783
86,90.881
87,91.253
88,91.662
89,92.359
90,92.797
91,92.926
92,93.889
93,94.392
94,95.359
95,95.806
96,96.602
97,97.160
98,97.469
99,97.567
100,98.002
101,98.369
102,98.473
103,98.234
104,97.991
105,97.741
106,97.488
107,97.034
108,96.353
109,95.758
110,95.172
111,94.344
112,93.419
113,92.791
114,91.921
115,91.566
116,90.988
117,89.797
118,89.136
119,88.538
120,87.640
121,86.709
122,86.078
123,84.881
124,84.144
125,83.527
126,83.217
127,82.539
128,81.422
129,80.458
130,79.516
131,78.431
132,77.469
133,76.213
134,74.923
135,73.750
136,72.659
137,71.582
138,70.296
139,69.801
140,69.260
141,68.815
142,68.262
143,67.962
144,67.656
145,68.215
146,68.622
147,68.979
148,69.921
149,70.650
150,71.631
151,72.946
152,73.775
153,75.067
154,76.142
155,76.884
156,77.973
157,78.924
158,80.059
159,81.248
160,82.324
161,83.090
162,84.103
163,84.993
164,86.188
165,87.086
166,87.916
167,88.666
168,89.401
169,90.135
170,90.870
171,91.891
172,92.925
173,93.999
174,95.064
175,96.152
176,96.955
177,98.254
178,99.389
179,100.473
180,101.596
181,102.586
182,103.415
183,104.245
184,104.932
185,105.380
186,105.510
187,105.590
188,105.952
189,106.083
190,106.022
191,105.937
192,105.989
193,105.788
194,105.815
195,105.615
196,105.362
197,105.108
198,104.855
199,104.322
200,104.294
201,103.817
202,103.509
203,103.255
204,103.002
205,102.190
206,101.814
207,101.272
208,100.674
209,99.800
210,99.145
211,98.272
212,97.272
213,96.315
214,95.186
215,93.843
216,92.654
217,91.297
218,89.598
219,88.225
220,86.938
221,85.378
222,83.920
223,82.621
224,81.165
225,79.649
226,78.308
227,77.010
228,75.657
229,74.178
230,73.062
231,71.845
232,70.795
233,69.834
234,69.129
235,68.216
236,67.759
237,67.461
238,67.389
239,67.438
240,67.685
241,68.283
242,68.961
243,69.906
244,70.916
245,71.761
246,73.275
247,74.431
248,75.453
249,76.612
250,77.946
251,79.312
252,80.414
253,81.793
254,82.939
255,84.333
256,85.929
257,87.634
258,89.093
259,90.971
260,92.531
261,94.414
262,96.240
263,97.706
264,99.350
265,100.797
266,101.914
267,102.958
268,103.786
269,104.781
270,105.777
271,106.095
272,106.691
273,107.154
274,107.641
275,108.119
276,108.367
277,108.715
278,109.105
279,109.495
280,109.885
281,110.275
282,110.665
283,110.799
284,111.112
285,111.246
286,111.759
287,111.965
288,112.034
289,112.102
290,112.170
291,111.997
292,111.721
293,111.441
294,111.168
295,110.873
296,110.357
297,109.971
298,109.263
299,108.810
300,108.581
301,108.012
302,107.882
303,107.939
304,107.594
305,107.029
306,106.815
307,106.583
308,106.580
309,106.410
310,106.106
311,105.812
312,105.536
313,105.085
314,104.242
315,103.536
316,102.620
317,101.622
318,100.431
319,98.898
320,96.839
321,95.062
322,92.720
323,90.582
324,88.364
325,86.067
326,83.316
327,80.867
328,79.016
329,77.060
330,75.376
331,74.014
332,72.802
333,72.087
334,71.949
335,72.214
336,72.812
337,73.743
338,74.900
339,76.226
340,77.744
341,79.343
342,81.263
343,83.087
344,84.809
345,86.531
346,88.453
347,90.328
348,92.041
349,93.977
350,95.561
351,96.960
352,98.350
353,99.721
354,100.855
355,101.933
356,103.198
357,104.136
358,105.116
359,106.408
360,107.723
361,108.917
362,110.242
363,111.494
364,112.626
365,113.794
366,115.132
367,116.183
368,117.206
369,118.451
370,119.644
371,120.975
372,121.911
373,122.934
374,123.735
375,124.448
376,125.150
377,125.469
378,125.778
379,125.938
380,125.994
381,126.052
382,125.879
383,125.396
384,125.267
385,125.068
386,124.592
387,124.418
388,124.223
389,123.788
390,123.373
391,123.288
392,122.891
393,122.509
394,122.007
395,121.508
396,121.063
397,120.417
398,119.774
399,119.031
400,117.974
401,116.883
402,115.741
403,114.833
404,113.822
405,112.766
406,111.610
407,110.576
408,109.822
409,108.983
410,108.248
411,107.195
412,106.355
413,105.476
414,103.869
415,102.155
416,100.094
417,98.029
418,95.791
419,93.899
420,91.969
421,89.820
422,87.882
423,86.212
424,84.904
425,84.201
426,83.923
427,84.086
428,84.430
429,85.354
430,86.518
431,87.995
432,89.672
433,91.349
434,92.992
435,94.231
436,95.468
437,97.026
438,98.505
439,99.865
440,101.446
441,103.543
442,105.678
443,107.958
444,110.768
445,113.846
446,117.074
447,120.408
448,124.053
449,128.149
450,132.084
451,136.259
452,140.771
453,145.117
454,149.243
455,153.636
456,157.696
457,161.439
458,165.322
459,168.951
460,172.525
461,176.050
462,179.483
463,182.709
464,186.170
465,189.285
466,192.074
467,195.076
468,197.798
469,200.253
470,202.905
471,205.652
472,208.024
473,210.118
474,211.917
475,213.672
476,215.066
477,216.202
478,216.931
479,217.526
480,217.862
481,217.876
482,217.635
483,217.180
484,216.370
485,215.270
486,213.896
487,212.259
488,210.253
489,207.759
490,204.992
491,201.965
492,198.806
493,195.275
494,191.655
495,187.767
496,183.595
497,179.215
498,174.661
499,169.727
500,164.897
501,160.283
502,156.053
503,151.720
504,147.530
505,143.899
506,140.355
507,136.877
508,133.740
509,130.673
510,127.846
511,125.247
512,122.528
513,119.930
514,117.669
515,115.345
516,112.837
517,110.762
518,108.948
519,107.542
520,106.432
521,105.870
522,105.882
523,106.499
524,107.903
525,110.164
526,113.234
527,117.726
528,122.892
529,128.870
530,135.920
531,143.490
532,151.963
533,160.990
534,169.928
535,178.777
536,187.674
537,196.181
538,204.409
539,211.961
