Distance_(pixels),Gray_Value
0,24.333
1,24.333
2,24.637
3,24.667
4,24.667
5,24.667
6,24.578
7,24.563
8,24.335
9,24.201
10,24.002
11,23.839
12,23.822
13,23.478
14,23.130
15,22.672
16,22.104
17,21.753
18,21.405
19,21.057
20,21.001
21,20.673
22,20.340
23,20.007
24,20.000
25,20.000
26,20.000
27,20.325
28,20.333
29,20.658
30,20.991
31,21.324
32,21.657
33,21.990
34,22.647
35,23.313
36,23.979
37,24.530
38,25.308
39,25.655
40,26.238
41,26.859
42,27.318
43,27.654
44,27.667
45,28.307
46,28.333
47,28.625
48,28.345
49,28.277
50,28.011
51,27.597
52,27.344
53,27.015
54,26.873
55,26.535
56,26.342
57,26.165
58,25.825
59,25.161
60,25.006
61,24.369
62,24.018
63,23.748
64,23.670
65,23.667
66,23.667
67,23.667
68,23.660
69,23.352
70,23.612
71,23.351
72,23.646
73,23.667
74,23.979
75,24.312
76,24.645
77,24.978
78,25.455
79,25.814
80,26.161
81,26.509
82,26.857
83,27.302
84,27.868
85,28.303
86,28.895
87,29.263
88,29.331
89,29.627
90,29.666
91,29.667
92,29.667
93,29.667
94,29.667
95,29.667
96,29.586
97,29.353
98,29.028
99,28.695
100,28.228
101,27.711
102,27.363
103,26.855
104,26.375
105,26.030
106,25.697
107,25.062
108,24.698
109,24.365
110,24.032
111,24.000
112,24.000
113,23.993
114,23.998
115,24.000
116,24.300
117,24.633
118,24.966
119,25.000
120,25.597
121,26.077
122,27.034
123,27.888
124,28.747
125,29.281
126,29.927
127,30.593
128,31.166
129,31.619
130,32.191
131,32.569
132,32.916
133,33.264
134,33.332
135,33.333
136,33.615
137,33.638
138,33.368
139,33.282
140,33.032
141,33.000
142,32.708
143,32.272
144,31.734
145,31.247
146,30.731
147,29.949
148,29.234
149,28.726
150,27.895
151,27.185
152,26.504
153,26.112
154,25.476
155,25.083
156,25.003
157,24.720
158,24.942
159,24.976
160,25.251
161,25.856
162,26.221
163,26.825
164,27.558
165,28.523
166,29.237
167,30.022
168,31.161
169,31.902
170,32.725
171,33.433
172,34.216
173,34.811
174,35.476
175,35.938
176,36.513
177,36.942
178,37.000
179,37.281
180,37.333
181,37.600
182,37.662
183,37.630
184,37.329
185,37.042
186,36.721
187,36.388
188,35.956
189,35.033
190,33.863
191,32.976
192,32.138
193,31.445
194,30.502
195,29.780
196,29.390
197,28.573
198,28.069
199,27.449
200,27.058
201,27.000
202,27.000
203,26.999
204,27.274
205,27.852
206,28.538
207,29.213
208,30.152
209,31.151
210,32.150
211,33.422
212,34.596
213,35.781
214,36.814
215,37.691
216,38.786
217,39.541
218,40.122
219,40.316
220,40.603
221,40.936
222,41.037
223,41.300
224,41.350
225,41.336
226,41.052
227,40.972
228,40.690
229,40.296
230,39.922
231,39.489
232,38.910
233,38.235
234,37.378
235,36.540
236,35.413
237,34.628
238,33.796
239,33.060
240,32.539
241,32.168
242,31.820
243,31.681
244,31.667
245,31.697
246,31.952
247,32.271
248,32.850
249,33.501
250,34.180
251,35.115
252,36.114
253,37.113
254,38.372
255,39.445
256,40.444
257,41.659
258,42.630
259,43.352
260,43.917
261,44.272
262,44.591
263,45.181
264,45.590
265,46.238
266,46.604
267,46.887
268,46.737
269,46.667
270,46.157
271,45.478
272,44.797
273,44.116
274,43.435
275,42.754
276,41.820
277,41.059
278,40.378
279,39.445
280,38.542
281,37.708
282,36.736
283,35.866
284,35.165
285,35.000
286,35.074
287,35.271
288,35.583
289,36.125
290,36.764
291,37.467
292,38.396
293,39.416
294,40.679
295,42.247
296,43.693
297,45.053
298,46.400
299,47.501
300,48.434
301,49.159
302,49.722
303,49.959
304,50.369
305,50.761
306,51.109
307,51.457
308,51.561
309,51.576
310,51.591
311,51.362
312,50.835
313,50.424
314,50.079
315,49.516
316,48.850
317,47.943
318,46.944
319,45.945
320,44.893
321,43.859
322,42.846
323,41.987
324,41.259
325,40.563
326,40.106
327,39.505
328,39.048
329,38.923
330,38.812
331,38.835
332,39.071
333,39.562
334,40.430
335,41.386
336,42.374
337,43.609
338,44.936
339,46.032
340,47.037
341,48.236
342,49.304
343,50.055
344,50.772
345,51.623
346,52.428
347,53.268
348,53.978
349,54.280
350,54.428
351,54.469
352,54.454
353,54.282
354,53.952
355,53.359
356,52.663
357,51.903
358,51.208
359,50.313
360,49.542
361,48.876
362,48.192
363,47.274
364,46.071
365,44.985
366,44.044
367,43.246
368,42.547
369,42.333
370,42.333
371,42.559
372,43.117
373,43.880
374,44.267
375,44.782
376,45.672
377,46.839
378,48.159
379,49.506
380,51.075
381,52.533
382,53.657
383,54.676
384,55.692
385,56.478
386,57.126
387,57.775
388,58.221
389,58.457
390,58.771
391,59.052
392,59.358
393,59.605
394,59.667
395,59.568
396,59.401
397,59.115
398,58.782
399,58.449
400,57.899
401,57.450
402,56.714
403,55.933
404,55.025
405,53.804
406,52.890
407,51.779
408,50.647
409,49.633
410,48.879
411,48.508
412,48.434
413,48.449
414,48.677
415,49.025
416,49.696
417,50.425
418,51.061
419,51.729
420,52.634
421,53.993
422,55.794
423,57.580
424,59.099
425,60.442
426,61.416
427,62.298
428,62.874
429,63.614
430,64.174
431,64.523
432,64.914
433,65.286
434,65.634
435,65.915
436,66.000
437,65.794
438,65.461
439,65.127
440,64.589
441,63.923
442,63.126
443,62.298
444,61.387
445,60.388
446,59.389
447,58.564
448,57.894
449,57.051
450,56.261
451,55.810
452,55.491
453,55.148
454,54.798
455,54.667
456,54.868
457,55.261
458,56.181
459,57.345
460,59.010
461,60.728
462,62.528
463,64.328
464,66.192
465,67.924
466,69.697
467,71.486
468,73.181
469,74.876
470,76.547
471,78.240
472,79.754
473,80.734
474,81.223
475,81.192
476,81.069
477,80.906
478,80.629
479,80.605
480,80.473
481,79.946
482,79.360
483,78.678
484,77.851
485,76.802
486,75.312
487,73.809
488,72.386
489,71.132
490,70.240
491,69.556
492,68.932
493,68.629
494,68.461
495,68.711
496,69.568
497,70.975
498,73.070
499,75.776
500,78.724
501,81.970
502,85.097
503,88.071
504,91.422
505,95.265
506,99.437
507,103.649
508,107.918
509,112.355
510,116.249
511,119.246
512,121.664
513,123.696
514,125.293
515,126.654
516,127.677
517,128.355
518,128.106
519,126.880
520,125.175
521,122.802
522,119.722
523,116.362
524,112.821
525,109.187
526,105.804
527,102.276
528,98.452
529,94.689
530,91.401
531,88.806
532,87.285
533,87.014
534,87.862
535,89.662
536,92.266
537,95.796
538,100.323
539,106.007
540,112.699
541,119.872
542,127.380
543,135.392
544,143.893
545,152.515
546,160.951
547,168.809
548,175.980
549,182.408
550,188.260
551,193.705
552,198.567
553,202.816
554,206.612
555,210.017
556,212.995
557,215.669
558,218.041
559,220.593
560,223.195
561,225.513
562,227.847
563,230.157
564,232.381
565,234.618
566,236.846
567,238.936
568,240.787
569,242.302
570,243.461
571,244.531
572,245.295
573,245.682
574,245.833
575,245.743
576,245.598
577,245.439
578,245.333
579,245.287
580,245.256
581,245.301
582,245.333
583,245.661
584,245.845
585,245.669
586,245.307
587,244.271
588,242.874
589,240.975
590,238.516
591,235.780
592,232.522
593,229.195
594,225.787
595,222.195
596,218.455
597,214.453
598,210.383
599,205.721
600,200.532
601,194.953
602,188.634
603,181.855
604,174.882
605,167.317
606,159.289
607,150.938
608,142.239
609,133.680
610,125.657
611,118.452
