Distance_(pixels),Gray_Value
0,21.333
1,21.015
2,21.000
3,21.000
4,21.000
5,21.000
6,21.088
7,21.103
8,21.118
9,21.332
10,21.479
11,21.495
12,21.840
13,21.858
14,22.202
15,22.220
16,22.564
17,22.583
18,22.926
19,22.946
20,23.288
21,23.309
22,23.978
23,24.005
24,24.346
25,24.367
26,24.382
27,24.397
28,24.412
29,24.426
30,24.336
31,24.128
32,24.004
33,23.676
34,23.504
35,23.339
36,23.010
37,22.677
38,22.344
39,22.011
40,21.678
41,21.345
42,21.012
43,20.679
44,20.346
45,20.012
46,20.000
47,20.000
48,20.000
49,20.051
50,20.068
51,20.402
52,20.656
53,20.985
54,21.318
55,21.787
56,22.141
57,22.969
58,23.496
59,24.041
60,24.526
61,25.098
62,25.788
63,26.168
64,26.846
65,27.268
66,27.590
67,28.251
68,28.333
69,28.347
70,28.335
71,28.061
72,28.003
73,27.511
74,27.344
75,27.117
76,27.007
77,26.688
78,26.492
79,26.344
80,26.022
81,25.822
82,25.245
83,24.705
84,24.357
85,24.024
86,24.000
87,23.691
88,23.667
89,23.643
90,23.656
91,23.362
92,23.352
93,23.059
94,23.048
95,23.370
96,23.411
97,23.732
98,24.080
99,24.428
100,24.775
101,25.123
102,25.471
103,25.984
104,26.362
105,26.724
106,26.783
107,27.334
108,27.732
109,28.412
110,28.562
111,28.867
112,28.957
113,29.290
114,29.342
115,29.357
116,29.372
117,29.386
118,29.340
119,29.107
120,28.797
121,28.479
122,28.160
123,27.543
124,27.349
125,26.889
126,26.388
127,26.035
128,25.596
129,24.968
130,24.613
131,24.295
132,24.030
133,23.960
134,23.700
135,23.653
136,23.667
137,24.247
138,24.355
139,24.338
140,24.141
141,24.375
142,25.008
143,25.395
144,26.037
145,26.655
146,27.357
147,28.208
148,28.660
149,29.177
150,30.156
151,30.908
152,31.413
153,31.788
154,32.151
155,32.513
156,32.621
157,32.908
158,32.978
159,33.004
160,33.018
161,33.033
162,33.006
163,33.000
164,32.712
165,32.171
166,31.532
167,30.880
168,30.399
169,29.760
170,29.236
171,28.740
172,28.095
173,27.429
174,26.670
175,26.083
176,25.715
177,25.382
178,25.049
179,25.000
180,25.000
181,25.000
182,25.283
183,25.616
184,25.981
185,26.616
186,27.297
187,27.978
188,28.859
189,29.656
190,30.460
191,31.013
192,31.842
193,32.566
194,33.417
195,33.990
196,34.653
197,35.070
198,35.635
199,36.115
200,36.490
201,36.815
202,36.907
203,36.687
204,36.663
205,36.436
206,36.421
207,36.185
208,35.573
209,35.202
210,34.898
211,34.319
212,33.587
213,32.915
214,31.990
215,31.148
216,30.453
217,29.787
218,29.121
219,28.634
220,27.941
221,27.355
222,26.991
223,26.673
224,26.626
225,26.640
226,26.926
227,27.273
228,27.891
229,28.598
230,29.531
231,30.586
232,31.834
233,32.897
234,33.997
235,34.875
236,36.144
237,37.132
238,37.729
239,38.406
240,38.961
241,39.518
242,39.937
243,40.314
244,40.957
245,41.402
246,41.554
247,41.859
248,41.957
249,41.986
250,41.720
251,41.112
252,40.465
253,39.848
254,39.418
255,38.808
256,38.066
257,37.190
258,36.378
259,35.257
260,34.478
261,33.811
262,33.145
263,32.479
264,31.980
265,31.635
266,31.576
267,31.591
268,31.865
269,32.212
270,32.794
271,33.237
272,33.847
273,34.785
274,35.799
275,36.588
276,37.550
277,38.579
278,39.417
279,40.326
280,41.164
281,41.901
282,42.611
283,43.067
284,43.698
285,44.154
286,44.785
287,45.496
288,45.876
289,45.925
290,45.978
291,45.842
292,45.613
293,45.061
294,44.466
295,43.833
296,43.181
297,42.530
298,41.879
299,41.181
300,40.307
301,39.523
302,38.663
303,37.705
304,36.869
