Distance_(pixels),Gray_Value
0,31.000
1,30.651
2,30.302
3,29.976
4,29.603
5,29.294
6,29.001
7,28.944
8,28.936
9,28.928
10,28.761
11,28.736
12,28.004
13,28.000
14,28.000
15,28.000
16,27.873
17,27.864
18,27.856
19,27.848
20,27.998
21,28.000
22,28.000
23,28.148
24,28.141
25,28.331
26,28.457
27,29.109
28,29.438
29,29.663
30,29.995
31,30.412
32,30.663
33,30.995
34,31.716
35,32.323
36,32.661
37,33.321
38,33.661
39,33.994
40,35.308
41,35.660
42,36.320
43,36.976
44,37.652
45,38.893
46,39.324
47,40.227
48,40.933
49,41.535
50,42.509
51,43.168
52,43.654
53,44.464
54,44.890
55,45.542
56,46.201
57,46.535
58,46.860
59,47.050
60,47.506
61,47.512
62,47.827
63,48.145
64,48.800
65,48.813
66,48.939
67,49.447
68,49.574
69,49.885
70,50.202
71,50.424
72,50.424
73,50.416
74,50.480
75,50.466
76,50.394
77,50.063
78,49.763
79,49.382
80,49.360
81,48.426
82,48.335
83,48.016
84,47.349
85,47.281
86,46.949
87,46.592
88,45.988
89,45.911
90,45.625
91,45.546
92,45.209
93,45.178
94,44.844
95,44.584
96,44.468
97,44.234
98,43.898
99,43.755
100,43.416
101,43.384
102,43.018
103,42.850
104,42.835
105,42.510
106,42.485
107,42.161
108,42.136
109,42.007
110,41.596
111,41.241
112,41.109
113,40.781
114,40.439
115,39.859
116,39.181
117,38.753
118,38.146
119,37.736
120,36.839
121,36.388
122,36.043
123,35.702
124,35.062
125,35.000
126,34.671
127,34.321
128,33.995
129,33.938
130,33.645
131,33.618
132,33.870
133,33.872
134,33.923
135,34.232
136,34.557
137,34.882
138,35.421
139,35.963
140,36.311
141,37.337
142,37.832
143,38.477
144,39.135
145,39.942
146,40.310
147,40.953
148,41.448
149,41.784
150,42.418
151,42.768
152,43.093
153,43.727
154,44.292
155,44.642
156,44.975
157,45.616
158,45.975
159,46.308
160,46.949
161,47.615
162,48.589
163,49.281
164,49.948
165,50.614
166,51.280
167,51.944
168,52.602
169,53.260
170,53.919
171,54.271
172,54.290
173,54.847
174,54.936
175,54.933
176,54.857
177,54.605
178,54.271
179,53.930
180,53.382
181,53.228
182,52.602
183,51.928
184,51.557
185,51.216
186,50.875
187,50.682
188,50.511
189,50.488
190,50.480
191,50.169
192,50.315
193,50.333
194,50.333
195,50.333
196,50.121
197,50.172
198,50.392
199,50.340
200,50.092
201,49.757
202,48.905
203,48.679
204,48.096
205,47.425
206,47.035
207,46.099
208,45.402
209,44.727
210,44.041
211,43.097
212,42.647
213,42.027
214,41.655
215,41.565
216,41.001
217,40.868
218,40.546
219,40.495
220,40.479
221,40.463
222,40.248
223,40.216
224,40.208
225,40.200
226,40.192
227,40.184
228,40.473
229,40.501
230,40.635
231,40.637
232,40.917
233,41.114
234,41.310
235,41.440
236,41.642
237,42.146
238,42.697
239,43.049
240,43.304
241,43.628
242,44.550
243,44.961
244,45.294
245,46.181
246,46.890
247,47.585
248,48.534
249,49.246
250,50.213
251,50.910
252,52.156
253,52.916
254,53.878
255,54.878
256,55.627
257,56.258
258,57.502
259,57.959
260,58.362
261,58.713
262,59.054
263,59.304
264,59.431
265,59.454
266,59.752
267,59.803
268,59.937
269,60.394
270,60.632
271,60.816
272,61.289
273,61.979
