Distance_(pixels),Gray_Value
0,57.333
1,56.001
2,55.319
3,54.002
4,53.002
5,52.667
6,52.002
7,51.389
8,51.002
9,51.000
10,50.744
11,50.751
12,50.999
13,51.000
14,51.106
15,51.332
16,51.785
17,51.998
18,52.661
19,52.810
20,53.480
21,53.824
22,54.497
23,55.169
24,55.694
25,56.515
26,57.386
27,57.867
28,58.960
29,59.766
30,60.777
31,61.464
32,61.905
33,63.071
34,63.841
35,64.459
36,65.147
37,65.558
38,65.908
39,65.964
40,66.571
41,66.606
42,66.629
43,66.330
44,66.344
45,66.365
46,66.387
47,66.410
48,66.433
49,66.456
50,66.479
51,66.772
52,66.856
53,66.951
54,67.060
55,67.340
56,67.469
57,67.735
58,67.878
59,68.454
60,68.621
61,68.858
62,69.030
63,69.396
64,69.444
65,69.970
66,70.339
67,71.025
68,71.580
69,71.957
70,72.329
71,73.022
72,73.405
73,73.881
74,74.570
75,74.946
76,75.869
77,76.261
78,77.022
79,77.401
80,77.497
81,77.797
82,77.838
83,77.869
84,77.875
85,77.609
86,76.997
87,76.674
88,76.358
89,75.734
90,75.370
91,74.778
92,74.137
93,73.535
94,73.171
95,72.802
96,72.227
97,71.905
98,71.756
99,71.439
100,71.113
101,70.570
102,70.031
103,69.596
104,69.272
105,68.321
106,67.698
107,66.861
108,66.359
109,65.385
110,64.702
111,63.720
112,63.036
113,62.184
114,61.499
115,60.710
116,59.938
117,59.364
118,59.019
119,58.457
120,58.338
121,58.262
122,58.265
123,58.586
124,58.927
125,59.268
126,59.573
127,60.233
128,60.622
129,61.264
130,61.938
131,62.313
132,63.279
133,63.691
134,64.339
135,65.048
136,65.703
137,66.114
138,66.734
139,67.412
140,67.912
141,68.285
142,68.959
143,69.346
144,69.709
145,70.594
146,70.892
147,71.371
148,72.257
149,72.794
150,73.492
151,74.205
152,74.917
153,75.476
154,76.021
155,76.411
156,76.659
157,77.035
158,77.113
159,77.585
160,77.665
161,77.403
162,77.335
163,77.381
164,77.434
165,77.488
166,77.541
167,77.341
168,77.365
169,77.717
170,78.064
171,78.217
172,78.830
173,79.528
174,79.949
175,80.929
176,81.959
177,82.396
178,83.355
179,83.804
180,84.216
181,84.814
182,84.997
183,85.052
184,85.033
185,84.833
186,84.553
187,83.962
188,83.248
189,82.408
190,81.767
191,81.032
192,80.090
193,79.176
194,78.036
195,77.352
196,76.717
197,76.073
198,75.281
199,74.587
200,74.100
201,73.769
202,73.374
203,73.032
204,72.902
205,72.507
206,71.963
207,71.691
208,71.366
209,70.906
210,70.088
211,69.700
212,69.324
213,68.695
214,68.065
215,67.402
216,67.303
217,66.717
218,66.366
219,66.034
220,66.000
221,66.000
222,65.728
223,65.703
224,65.969
225,65.749
226,65.779
227,65.741
228,66.038
229,66.156
230,66.397
231,66.727
232,67.068
233,67.113
234,67.417
235,67.507
236,67.839
237,68.202
238,68.728
239,69.245
240,69.627
241,70.273
242,70.818
243,71.363
244,72.217
245,72.944
246,73.355
247,73.920
248,74.325
249,74.997
250,75.416
251,75.795
252,76.174
253,76.553
254,77.172
255,77.592
256,78.232
257,78.661
258,79.081
259,79.472
260,80.138
261,80.572
262,80.966
263,81.928
264,82.403
265,83.062
266,83.508
267,83.641
268,84.207
269,84.374
270,84.488
271,84.787
272,84.942
273,85.013
274,85.074
275,85.222
276,85.500
277,85.591
278,85.652
279,85.424
280,85.392
281,85.334
282,85.383
283,85.452
284,85.375
285,85.413
286,85.217
287,84.965
288,84.995
289,84.714
290,84.801
291,84.987
292,85.071
293,84.853
294,85.086
295,85.197
296,85.112
297,85.090
298,85.199
299,85.226
300,85.038
301,85.028
302,84.829
303,84.561
304,84.289
305,83.451
306,83.074
307,82.500
308,81.610
309,80.928
310,80.049
311,79.321
312,78.438
313,77.630
314,76.221
315,75.462
316,74.483
317,73.636
318,72.555
319,71.564
320,70.784
321,69.841
322,69.040
323,68.314
324,67.591
325,67.200
326,66.593
327,66.216
328,65.891
329,65.565
330,65.239
331,65.195
332,65.202
333,65.210
334,65.315
335,65.522
336,65.566
337,66.055
338,66.722
339,67.124
340,67.752
341,68.207
342,69.024
343,69.750
344,70.406
345,71.375
346,72.106
347,72.807
348,73.797
349,74.551
350,75.797
351,76.609
352,77.308
353,78.535
354,79.393
355,80.387
356,81.148
357,82.129
358,82.890
359,83.443
360,84.339
361,84.818
362,85.197
363,85.301
364,85.440
365,85.613
366,85.420
367,85.698
368,85.817
369,85.604
370,85.737
371,85.971
372,85.931
373,86.096
374,86.340
375,86.554
376,87.186
377,88.187
378,88.975
379,89.602
380,90.758
381,91.581
382,92.778
383,93.673
384,94.244
385,95.185
386,95.908
387,96.611
388,97.051
389,97.159
390,97.187
391,96.977
392,96.426
393,95.799
394,94.900
395,94.196
396,93.056
397,92.048
398,90.824
399,89.846
400,89.134
401,88.014
402,87.016
403,86.070
404,85.593
405,84.633
406,84.041
407,83.534
408,83.117
409,82.638
410,82.586
411,82.259
412,82.213
413,82.258
414,82.304
415,82.481
416,82.694
417,83.309
418,83.488
419,84.067
420,84.779
421,84.958
422,85.715
423,86.111
424,86.191
425,86.229
426,86.331
427,86.378
428,86.408
429,86.219
430,85.842
431,85.560
432,84.791
433,84.572
434,84.342
435,83.781
436,83.654
437,83.146
438,83.014
439,83.004
440,83.263
441,83.361
442,83.672
443,84.253
444,84.916
445,85.590
446,86.264
447,87.200
448,88.015
449,88.715
450,89.397
451,90.079
452,90.592
453,91.073
454,91.725
455,92.011
456,92.601
457,93.045
458,93.413
459,93.799
460,94.165
461,94.563
462,94.851
463,95.057
464,95.562
465,96.093
466,96.246
467,96.817
468,97.207
469,97.580
470,97.716
471,98.348
472,98.777
473,99.157
474,99.588
475,100.182
476,100.642
477,100.823
478,101.132
479,101.259
480,101.326
481,101.130
482,101.105
483,100.915
484,100.882
485,100.445
486,99.848
487,99.283
488,98.605
489,98.220
490,97.487
491,97.077
492,96.805
493,96.533
494,96.435
495,96.463
496,96.516
497,96.472
498,96.741
499,96.976
500,97.433
501,97.742
502,97.964
503,98.439
504,98.864
505,99.106
506,99.337
507,99.282
508,99.026
509,98.653
510,98.346
511,97.888
512,97.039
513,96.148
514,95.206
515,94.195
516,93.431
517,92.379
518,91.110
519,90.066
520,88.897
521,87.837
522,86.862
523,86.144
524,85.005
525,84.189
526,83.285
527,82.763
528,82.192
529,81.572
530,80.931
531,80.736
532,80.434
533,80.333
534,80.085
535,80.000
536,80.248
537,80.409
538,80.857
539,81.248
540,81.581
541,81.914
542,82.247
543,82.827
544,83.361
545,84.115
546,84.957
547,85.922
548,86.924
549,87.827
550,88.805
551,89.973
552,91.050
553,91.992
554,93.238
555,94.356
556,95.142
557,96.083
558,96.816
559,97.746
560,98.295
561,98.875
562,99.330
563,99.734
564,100.095
565,100.684
566,100.915
567,101.219
568,101.360
569,101.425
570,101.721
571,102.082
572,102.262
573,102.342
574,102.404
575,102.664
576,102.793
577,102.900
578,102.981
579,103.042
580,102.932
581,102.860
582,102.652
583,102.465
584,102.383
585,102.266
586,102.141
587,101.708
588,101.466
589,101.485
590,101.554
591,101.513
592,101.307
593,101.289
594,101.365
595,101.442
596,101.518
597,101.518
598,101.333
599,101.149
600,101.097
601,100.790
602,100.663
603,100.482
604,100.263
605,100.014
606,99.959
607,99.573
608,99.221
609,98.957
610,98.686
611,98.191
612,97.817
613,97.536
614,97.036
615,96.673
616,96.166
617,95.763
618,95.433
619,94.746
620,94.168
621,93.450
622,92.374
623,91.701
624,90.892
625,89.779
626,88.839
627,87.760
628,86.977
629,86.494
630,85.691
631,85.089
632,84.741
633,84.438
634,83.903
635,83.837
636,83.905
637,83.884
638,84.016
639,84.325
640,84.750
641,85.133
642,85.468
643,85.978
644,86.401
645,86.801
646,87.534
647,88.285
648,88.974
649,89.893
650,90.710
651,91.594
652,92.822
653,93.737
654,94.667
655,95.237
656,96.067
657,97.313
658,98.217
659,98.945
660,99.660
661,100.364
662,100.841
663,101.255
664,101.834
665,102.168
666,102.667
667,103.189
668,103.763
669,104.138
670,104.643
671,105.099
672,105.438
673,105.855
674,106.132
675,106.467
676,106.746
677,107.203
678,107.545
679,107.896
680,108.073
681,108.367
682,108.544
683,108.837
684,109.015
685,108.928
686,109.074
687,109.221
688,109.514
689,109.692
690,109.803
691,110.071
692,110.041
693,110.007
694,110.046
695,110.104
696,109.962
697,109.912
698,109.977
699,110.037
700,109.662
