Distance_(pixels),Gray_Value
0,13.157
1,13.487
2,14.349
3,15.636
4,17.628
5,19.916
6,22.652
7,25.456
8,28.484
9,31.489
10,34.524
11,37.492
12,40.395
13,43.114
14,45.765
15,48.235
16,50.457
17,52.090
18,53.343
19,54.277
20,54.579
21,54.872
22,54.767
23,54.549
24,54.194
25,53.640
26,52.929
27,51.700
28,50.164
29,48.350
30,46.232
31,43.673
32,41.157
33,38.638
34,35.997
35,33.454
36,30.647
37,27.668
38,24.641
39,21.668
40,18.975
41,16.595
42,15.007
43,13.951
44,13.718
45,14.199
46,15.456
47,16.708
48,18.631
49,20.771
50,23.903
51,27.523
52,31.672
53,36.032
54,40.509
55,45.235
56,50.020
57,54.478
58,58.906
59,62.869
60,66.956
61,71.017
62,74.849
63,77.812
64,80.471
65,82.349
66,83.756
67,84.255
68,84.593
69,84.659
70,84.787
71,84.891
72,84.894
73,84.436
74,83.509
75,82.009
76,80.027
77,77.410
78,74.071
79,70.056
80,65.548
81,60.662
82,55.502
83,50.024
84,44.260
85,38.988
86,34.049
87,30.048
88,26.457
89,23.706
90,21.660
91,20.511
92,20.353
93,21.192
94,23.558
95,27.405
96,32.909
97,39.603
98,47.220
99,54.864
100,62.385
101,69.043
102,74.778
103,79.125
104,82.338
105,84.869
106,87.223
107,89.249
108,91.358
109,93.068
110,94.673
111,95.793
112,96.400
113,96.511
114,95.830
115,94.522
116,92.904
117,90.921
118,88.785
119,86.615
120,84.587
121,82.746
122,80.724
123,78.775
124,76.351
125,73.970
126,71.061
127,67.199
128,62.264
129,56.350
130,49.689
131,42.974
132,36.234
133,30.196
134,24.867
135,21.122
136,18.709
137,17.610
138,17.437
139,18.110
140,19.831
141,22.173
142,25.589
143,29.630
144,34.533
145,39.426
146,44.641
147,49.465
148,54.015
149,58.123
150,62.020
151,65.486
152,68.686
153,71.230
154,73.363
155,74.732
156,75.563
157,76.096
158,76.383
159,76.517
160,76.657
161,76.891
162,77.204
163,77.297
164,77.052
165,76.351
166,75.044
167,73.033
168,70.870
169,68.622
170,66.172
171,64.017
172,61.693
173,59.252
174,56.643
175,53.811
176,50.916
177,48.029
178,44.970
179,42.018
180,38.973
181,36.295
182,34.066
183,32.463
184,31.627
185,31.444
186,31.722
187,32.479
188,33.484
189,34.410
190,36.323
191,39.129
192,43.138
193,48.084
194,53.547
195,59.259
196,64.508
197,69.063
198,73.105
