Distance_(pixels),Gray_Value
0,17.431
1,17.401
2,17.546
3,17.912
4,18.426
5,18.988
6,19.916
7,20.939
8,21.920
9,23.012
10,24.037
11,25.270
12,26.553
13,27.810
14,28.809
15,29.949
16,31.002
17,31.893
18,32.701
19,33.229
20,33.346
21,33.234
22,32.922
23,32.344
24,31.630
25,30.822
26,29.927
27,28.859
28,27.793
29,26.626
30,25.240
31,23.919
32,22.444
33,21.268
34,20.175
35,19.532
36,19.088
37,19.012
38,19.080
39,19.447
40,20.071
41,20.832
42,21.676
43,22.650
44,23.824
45,24.824
46,25.983
47,27.181
48,28.231
49,29.236
50,30.204
51,30.875
52,31.172
53,31.433
54,31.322
55,31.149
56,30.611
57,29.974
58,29.307
59,28.488
60,27.694
61,26.823
62,25.722
63,24.596
64,23.431
65,22.215
66,21.019
67,20.123
68,19.572
69,19.028
70,18.712
71,18.363
72,18.056
73,17.757
74,17.585
75,17.531
76,17.468
77,17.697
78,18.085
79,18.603
80,19.147
81,19.698
82,20.319
83,20.773
84,21.280
85,22.075
86,22.479
87,23.100
88,23.594
89,24.115
90,24.620
91,25.037
92,25.098
93,25.199
94,25.275
95,25.280
96,25.091
97,24.933
98,24.613
99,24.167
100,23.655
101,23.140
102,22.510
103,21.817
104,21.185
105,20.499
106,20.018
107,19.591
108,19.421
109,19.227
110,19.179
111,19.178
112,19.368
113,19.861
114,20.646
115,21.656
116,22.741
117,23.894
118,25.110
119,26.383
120,27.598
121,28.695
122,29.748
123,30.738
124,31.671
125,32.556
126,33.416
127,34.156
128,34.756
129,35.146
130,35.215
131,34.984
132,34.486
133,33.849
134,32.998
135,31.778
136,30.415
137,28.860
138,27.334
139,25.930
140,24.517
141,22.961
142,21.580
143,20.281
144,19.269
145,18.525
146,18.247
147,18.378
148,18.760
149,19.484
150,20.412
151,21.558
152,23.024
153,24.477
154,25.970
155,27.549
156,28.997
157,30.539
158,31.938
159,33.227
160,34.249
161,35.117
162,35.513
163,35.863
164,35.894
165,35.791
166,35.445
167,34.935
168,33.978
169,32.754
170,31.324
171,29.760
172,28.138
173,26.485
174,24.948
175,23.328
176,21.748
177,20.333
178,19.228
179,18.293
180,17.427
181,16.747
182,16.574
183,16.570
184,16.920
185,17.568
186,18.415
187,19.415
188,20.344
189,21.262
190,22.132
191,23.140
192,24.278
193,25.381
194,26.371
195,27.342
196,28.084
197,28.771
198,29.394
199,29.640
200,29.912
201,29.868
202,29.620
203,29.276
204,28.768
205,28.026
206,27.019
207,25.854
208,24.607
209,23.494
210,22.342
211,21.059
212,20.120
213,19.178
214,18.480
215,17.845
216,17.673
217,17.638
218,17.932
219,18.531
220,19.398
221,20.650
222,22.007
223,23.515
224,25.246
225,27.010
226,28.807
227,30.705
228,32.391
229,34.127
230,35.810
231,37.242
232,38.495
233,39.568
234,40.297
235,40.736
236,40.870
237,40.947
238,40.734
239,40.242
240,39.580
241,38.353
242,36.934
243,35.154
244,33.440
245,31.431
246,29.597
247,27.731
248,25.937
249,24.280
250,23.031
251,22.228
252,21.559
253,21.438
254,21.629
255,22.364
256,23.439
257,25.036
258,26.996
259,29.195
260,31.413
261,33.650
262,35.860
263,37.971
264,39.838
265,41.610
266,43.166
267,44.502
268,45.651
269,46.634
270,47.114
271,47.324
272,47.285
273,46.727
274,45.974
275,44.829
276,43.293
277,41.855
278,40.112
279,38.035
280,35.994
281,33.855
282,31.757
283,29.491
284,27.260
285,25.181
286,23.341
287,22.064
288,21.067
289,20.565
290,20.730
291,21.276
292,22.498
293,23.838
294,25.432
295,27.258
296,29.251
297,31.231
298,33.108
299,34.929
300,36.461
301,38.015
302,39.175
303,40.156
304,40.847
305,41.224
306,41.152
307,40.767
308,39.938
309,38.963
310,37.827
311,36.678
312,35.337
313,33.654
314,31.969
315,30.270
316,28.534
317,26.850
318,25.210
319,23.590
320,22.085
321,20.802
322,19.795
323,19.275
324,19.308
325,19.719
326,20.663
327,21.866
328,23.243
329,24.714
330,26.448
331,28.224
332,30.223
333,32.275
334,34.254
335,36.214
336,37.889
337,39.489
338,41.058
339,42.160
340,42.970
341,43.325
342,43.698
343,43.859
344,44.231
345,44.391
346,43.816
347,42.493
348,41.052
349,39.453
350,37.866
351,36.115
352,34.455
353,32.717
354,31.172
355,29.618
356,28.372
357,27.437
358,26.655
359,26.424
360,26.642
361,27.487
362,29.206
363,31.402
364,33.544
365,35.782
366,37.883
367,40.182
368,42.556
369,44.702
370,46.914
371,48.904
372,50.528
373,51.947
374,53.004
375,54.023
376,54.856
377,55.321
378,55.254
379,55.053
380,54.766
381,53.988
382,52.510
383,50.649
384,48.553
385,46.143
386,43.566
387,40.804
388,38.090
389,35.534
390,33.083
391,31.223
392,29.473
393,28.303
394,27.988
395,28.154
396,28.875
397,30.392
398,32.276
399,34.475
400,36.830
401,39.137
402,41.682
403,44.138
404,46.345
405,48.361
406,49.825
407,51.171
408,52.217
409,53.122
410,53.560
411,53.736
412,53.886
413,53.916
414,53.578
415,52.733
416,51.559
417,50.067
418,48.312
419,46.397
420,44.235
421,41.815
422,39.325
423,36.711
424,34.134
425,31.611
426,29.327
427,27.227
428,25.529
429,24.650
430,24.147
431,24.605
432,25.515
433,26.932
434,28.754
435,30.821
436,32.994
437,35.392
438,37.504
439,39.757
440,41.897
441,43.756
442,45.497
443,47.265
444,48.661
445,49.882
446,50.520
447,51.044
448,51.117
449,50.702
450,50.168
451,49.349
452,48.119
453,46.801
454,45.222
455,43.346
456,41.365
457,39.293
458,37.074
459,34.991
460,33.079
461,31.415
462,30.106
463,29.255
464,28.791
465,28.819
466,29.311
467,30.427
468,31.884
469,33.689
470,35.947
471,38.547
472,40.920
473,43.280
474,45.664
475,47.938
476,50.096
477,51.756
478,53.414
479,54.711
480,56.002
481,56.898
482,57.609
483,58.108
484,58.468
485,58.598
486,58.377
487,57.692
488,56.770
489,55.519
490,53.673
491,51.642
492,49.345
493,47.040
494,44.749
495,42.533
496,40.513
497,39.036
498,38.134
499,37.564
500,37.746
501,38.255
502,39.180
503,40.580
504,42.224
505,44.237
506,46.374
507,48.855
508,51.289
509,53.732
510,56.061
511,57.939
512,59.561
513,60.762
514,61.537
515,61.934
516,62.262
517,62.470
518,62.554
519,62.431
520,62.247
521,62.021
522,61.138
523,59.712
524,58.050
525,56.112
526,53.952
527,51.683
528,49.375
529,47.265
530,45.438
531,43.905
532,42.620
533,41.599
534,40.918
535,40.623
536,40.631
537,41.095
538,41.915
539,43.551
540,45.382
541,47.316
542,49.411
543,51.646
544,53.789
545,55.734
546,57.516
547,59.305
548,60.926
549,62.042
550,63.016
551,63.609
552,63.874
553,63.731
554,63.251
555,62.571
556,61.485
557,59.903
558,57.831
559,55.497
560,52.927
