Distance_(pixels),Gray_Value
0,45.126
1,47.940
2,50.473
3,52.963
4,55.114
5,56.867
6,58.328
7,59.571
8,60.513
9,61.119
10,60.773
11,60.167
12,59.288
13,58.493
14,57.482
15,55.753
16,53.438
17,50.624
18,47.449
19,44.250
20,40.966
21,37.742
22,34.793
23,32.192
24,30.218
25,28.815
26,27.873
27,27.042
28,26.607
29,26.556
30,27.272
31,28.922
32,31.229
33,33.904
34,36.685
35,39.619
36,42.422
37,45.253
38,47.823
39,49.958
40,51.579
41,53.047
42,54.406
43,55.493
44,56.293
45,56.664
46,56.591
47,56.337
48,55.668
49,55.010
50,53.852
51,52.348
52,50.582
53,48.451
54,46.111
55,43.750
56,41.209
57,38.612
58,36.027
59,33.490
60,31.173
61,28.916
62,27.127
63,25.755
64,24.963
65,24.423
66,24.622
67,25.488
68,26.900
69,28.625
70,30.807
71,33.028
72,35.298
73,37.523
74,39.632
75,41.947
76,44.186
77,46.386
78,48.406
79,50.112
80,51.563
81,52.895
82,53.761
83,54.326
84,54.563
85,54.731
86,54.522
87,54.082
88,53.471
89,52.736
90,51.848
91,50.511
92,48.670
93,46.417
94,43.885
95,41.357
96,38.880
97,36.631
98,34.397
99,32.379
100,31.126
101,30.791
102,31.091
103,31.680
104,32.458
105,33.321
106,34.670
107,36.776
108,39.227
109,42.000
110,44.667
111,47.327
112,49.992
113,52.541
114,54.926
115,56.766
116,58.453
117,59.692
118,60.809
119,62.139
120,63.365
121,64.140
122,64.481
123,64.331
124,63.954
125,63.387
126,62.658
127,61.577
128,60.011
129,57.856
130,55.376
131,52.646
132,49.548
133,46.175
134,43.138
135,40.228
136,37.700
137,35.808
138,34.721
139,34.045
140,33.972
141,34.505
142,35.545
143,37.168
144,39.521
145,42.280
146,45.402
147,48.616
148,51.979
149,55.034
150,57.636
151,59.635
152,61.363
153,62.975
154,64.127
155,64.827
156,65.302
157,65.646
158,65.491
159,65.515
160,65.309
161,64.901
162,64.190
163,63.411
164,62.486
165,61.284
166,59.864
167,57.976
168,55.407
169,52.482
170,49.212
171,46.108
172,43.416
173,40.838
174,38.900
175,37.296
176,36.309
177,35.602
178,35.233
179,35.181
180,35.793
181,37.086
182,38.733
183,40.959
184,43.531
185,46.145
186,48.598
187,51.119
188,53.572
189,56.151
190,58.371
191,60.205
192,61.527
193,62.431
194,63.165
195,63.630
196,63.723
197,63.474
198,63.089
199,62.384
200,61.197
201,59.751
202,58.115
203,56.325
204,54.197
205,51.794
206,49.043
207,46.530
208,44.404
209,42.648
210,41.324
211,40.339
212,39.541
213,38.924
214,38.681
215,39.236
216,40.278
217,41.714
218,43.521
219,45.599
220,47.951
221,50.802
222,53.936
223,57.015
224,59.743
225,62.043
226,63.954
227,65.627
228,67.247
229,68.677
230,69.684
231,70.300
232,70.588
233,70.820
234,70.792
235,70.527
236,69.713
237,68.397
238,66.641
239,64.545
240,62.082
241,59.278
242,56.323
243,53.587
244,51.276
245,49.239
246,47.538
247,46.147
248,45.313
249,45.116
250,45.551
251,46.483
252,47.878
253,49.777
254,52.296
255,55.016
256,57.945
257,60.945
258,63.914
259,66.489
260,68.770
261,70.674
262,72.250
263,73.576
264,74.293
265,74.430
266,74.558
267,74.545
268,74.558
269,74.375
270,73.782
271,72.726
272,71.367
273,69.728
274,67.712
275,65.237
276,62.514
277,59.565
278,56.561
279,53.874
280,51.265
281,48.849
282,46.840
283,45.266
284,44.184
285,43.555
286,43.398
287,43.595
288,43.865
289,44.448
290,45.661
291,47.682
292,49.963
293,52.505
294,55.045
295,57.419
296,59.542
297,61.425
298,63.002
299,64.060
300,64.855
301,65.580
302,66.372
303,67.162
304,67.756
305,68.299
306,68.280
307,67.942
308,67.651
309,67.442
310,67.167
311,66.879
312,66.523
313,65.839
314,64.536
315,62.701
316,60.440
317,58.030
318,55.639
319,53.367
320,51.120
321,49.192
322,47.802
323,46.856
324,46.222
325,45.723
326,45.455
327,45.465
328,45.887
329,47.048
330,49.181
331,51.957
332,55.210
333,58.726
334,62.282
335,65.595
336,68.599
337,71.172
338,73.352
339,75.156
340,76.759
341,77.971
342,78.935
343,79.612
344,80.131
345,80.409
346,80.244
347,79.630
348,78.397
349,76.581
350,74.402
351,71.940
352,69.106
353,65.762
354,62.267
355,58.650
356,55.450
357,52.804
358,50.319
359,48.291
360,46.697
361,45.640
362,45.342
363,45.902
364,47.315
365,49.328
366,51.901
367,55.116
368,58.873
369,62.966
370,66.977
371,70.882
372,74.530
373,77.793
374,80.428
375,82.458
376,84.234
377,85.630
378,86.649
379,87.341
380,87.587
381,87.238
382,86.366
383,85.161
384,83.638
385,81.804
386,79.326
387,76.101
388,72.117
389,67.807
390,63.569
391,59.528
392,55.621
393,52.003
394,48.899
