Distance_(pixels),Gray_Value
0,23.000
1,20.923
2,19.197
3,18.154
4,17.163
5,16.453
6,15.462
7,15.368
8,15.394
9,16.693
10,17.744
11,19.864
12,22.078
13,24.780
14,26.635
15,30.031
16,31.433
17,31.922
18,31.777
19,31.982
20,30.538
21,29.136
22,26.475
23,25.311
24,22.337
25,20.720
26,19.111
27,17.642
28,16.950
29,17.096
30,17.386
31,19.148
32,21.843
33,25.907
34,29.369
35,32.727
36,34.449
37,34.649
38,34.360
39,34.019
40,34.229
41,34.118
42,33.705
43,31.357
44,30.194
45,27.239
46,24.193
47,22.525
48,21.285
49,19.915
50,19.293
51,19.157
52,19.114
53,20.167
54,22.264
55,26.884
56,29.963
57,32.586
58,34.644
59,37.440
60,39.343
61,40.086
62,39.788
63,39.268
64,37.622
65,35.240
66,33.607
67,32.566
68,28.455
69,25.178
70,21.805
71,21.667
72,21.281
73,20.579
74,20.105
75,21.386
76,24.162
77,28.724
78,34.006
79,36.182
80,38.995
81,42.408
82,45.605
83,46.789
84,47.040
85,46.648
86,43.374
87,37.239
88,34.223
89,30.103
90,25.217
91,24.787
92,23.837
93,23.190
94,23.051
95,23.991
96,28.654
97,33.431
98,39.605
99,42.186
100,44.436
101,49.369
102,52.032
103,52.385
104,52.147
105,50.367
106,46.383
107,43.183
108,40.524
109,35.603
110,27.706
111,25.088
112,23.755
113,22.631
114,21.577
115,21.815
116,26.020
117,29.691
118,36.822
119,40.260
120,42.801
121,45.575
122,49.718
123,51.372
124,51.150
125,49.596
126,49.191
127,45.650
128,43.022
129,38.404
130,33.248
131,27.431
132,24.194
133,21.802
134,20.477
135,19.696
136,19.506
137,20.159
138,21.444
139,24.950
140,30.159
141,34.118
142,39.732
143,42.493
144,44.150
145,48.483
146,48.801
147,48.593
148,48.719
149,47.048
150,41.207
151,39.070
152,37.838
153,35.413
154,33.989
155,33.125
156,33.021
157,31.894
158,35.045
159,37.907
160,43.420
161,49.014
162,53.002
163,58.367
164,64.612
165,67.696
166,68.910
167,68.515
168,66.641
169,61.438
170,55.061
171,51.919
