Distance_(pixels),Gray_Value
0,30.344
1,29.805
2,29.371
3,28.964
4,28.398
5,27.922
6,27.403
7,26.851
8,26.439
9,25.977
10,25.581
11,25.193
12,24.825
13,24.500
14,24.158
15,23.882
16,23.528
17,23.240
18,22.982
19,22.777
20,22.570
21,22.428
22,22.239
23,22.048
24,21.952
25,21.895
26,21.768
27,21.666
28,21.595
29,21.543
30,21.542
31,21.576
32,21.636
33,21.709
34,21.856
35,21.993
36,22.160
37,22.364
38,22.701
39,22.957
40,23.249
41,23.775
42,24.294
43,24.891
44,25.451
45,26.071
46,26.723
47,27.389
48,28.186
49,28.901
50,29.693
51,30.487
52,31.183
53,31.899
54,32.565
55,33.226
56,33.741
57,34.268
58,34.796
59,35.280
60,35.735
61,36.210
62,36.630
63,37.085
64,37.402
65,37.942
66,38.563
67,39.033
68,39.565
69,40.123
70,40.741
71,41.301
72,41.929
73,42.534
74,43.183
75,43.813
76,44.508
77,45.131
78,45.798
79,46.485
80,47.104
81,47.808
82,48.475
83,49.049
84,49.733
85,50.311
86,50.945
87,51.590
88,52.150
89,52.714
90,53.209
91,53.558
92,53.962
93,54.315
94,54.514
95,54.673
96,54.828
97,55.005
98,54.986
99,54.890
100,54.860
101,54.702
102,54.600
103,54.444
104,54.228
105,54.126
106,53.978
107,53.801
108,53.582
109,53.381
110,53.175
111,52.960
112,52.757
113,52.532
114,52.245
115,51.957
116,51.606
117,51.163
118,50.710
119,50.229
120,49.769
121,49.291
122,48.808
123,48.218
124,47.650
125,47.083
126,46.508
127,45.816
128,45.208
129,44.566
130,43.875
131,43.212
132,42.523
133,41.864
134,41.145
135,40.400
136,39.619
137,38.861
138,38.157
139,37.431
140,36.649
141,35.848
142,35.144
143,34.445
144,33.823
145,33.264
146,32.625
147,32.142
148,31.707
149,31.336
150,31.196
151,31.117
152,31.059
153,30.991
154,31.129
155,31.429
156,31.731
157,32.084
158,32.541
159,32.960
160,33.406
161,33.953
162,34.609
163,35.286
164,36.019
165,36.760
166,37.409
167,38.188
168,38.826
169,39.471
170,40.120
171,40.783
172,41.500
173,42.247
174,43.000
175,43.735
176,44.547
177,45.316
178,46.082
179,46.826
180,47.603
181,48.386
182,49.257
183,50.123
184,50.924
185,51.745
186,52.561
187,53.332
188,54.078
189,54.761
190,55.419
191,56.119
192,56.696
193,57.201
194,57.825
195,58.404
196,59.052
197,59.705
198,60.489
199,61.211
200,61.915
201,62.735
202,63.468
203,64.123
204,64.808
205,65.349
206,65.899
207,66.425
208,66.751
209,67.223
210,67.660
211,67.923
212,68.094
213,68.309
214,68.500
215,68.693
216,68.918
217,69.072
218,69.185
219,69.324
220,69.498
221,69.717
222,69.940
223,70.112
224,70.360
225,70.566
226,70.689
227,70.631
228,70.389
229,70.092
230,69.830
231,69.450
232,69.038
233,68.620
234,68.126
235,67.699
236,67.171
237,66.661
238,66.142
239,65.638
240,65.330
241,65.130
242,65.105
243,65.221
244,65.474
245,65.847
246,66.304
247,66.809
248,67.493
249,68.286
250,69.024
251,69.730
252,70.285
253,70.709
254,71.041
255,71.182
256,71.188
257,71.024
258,70.792
259,70.290
260,69.750
261,69.159
262,68.511
263,67.893
264,67.208
265,66.549
266,65.939
267,65.264
268,64.580
269,63.896
270,63.109
271,62.223
272,61.286
273,60.367
274,59.433
275,58.422
276,57.303
277,56.182
278,54.987
279,53.667
280,52.392
281,51.182
282,50.075
283,49.121
284,48.246
285,47.407
286,46.730
287,46.039
288,45.399
289,44.776
290,44.179
291,43.771
292,43.416
293,43.128
294,42.960
295,42.763
296,42.712
297,42.762
298,42.906
299,43.073
300,43.272
301,43.506
302,43.869
303,44.417
304,45.000
305,45.700
306,46.461
307,47.367
308,48.529
309,49.783
310,51.133
311,52.518
312,53.846
313,55.177
314,56.504
315,57.831
316,59.087
317,60.363
318,61.703
319,62.975
320,64.158
321,65.249
322,66.048
323,66.707
324,67.220
325,67.814
326,68.471
327,69.077
328,69.594
329,70.097
330,70.631
331,71.074
332,71.595
333,72.092
334,72.401
335,72.727
336,73.083
337,73.430
338,73.830
339,74.245
340,74.720
341,75.101
342,75.453
343,75.971
344,76.551
345,77.216
346,77.914
347,78.602
348,79.195
349,79.943
350,80.782
351,81.677
352,82.628
353,83.662
354,84.707
355,85.702
356,86.735
357,87.758
358,88.847
359,89.998
360,91.117
361,92.171
362,93.159
363,93.996
364,94.603
365,94.870
366,94.887
367,94.729
368,94.324
369,93.761
370,92.992
371,92.109
372,91.253
373,90.309
374,89.174
375,88.095
376,86.986
377,85.897
378,84.926
379,83.991
380,83.207
381,82.375
382,81.567
383,80.852
384,80.140
385,79.451
386,78.889
387,78.311
388,77.792
389,77.348
390,77.065
391,76.908
392,76.795
393,76.862
394,76.981
395,77.183
396,77.359
397,77.395
398,77.391
399,77.174
400,76.765
401,76.186
402,75.433
403,74.594
404,73.620
405,72.641
406,71.551
407,70.440
408,69.274
409,67.965
410,66.548
411,64.980
412,63.335
413,61.621
414,59.970
415,58.348
416,56.757
417,55.230
418,53.640
419,52.037
420,50.345
421,48.688
422,47.093
423,45.672
424,44.430
425,43.485
426,42.724
427,42.112
428,41.651
429,41.228
430,40.808
431,40.436
432,40.085
433,39.879
434,39.786
435,39.813
436,39.907
437,40.252
438,40.780
439,41.444
440,42.312
441,43.435
442,44.623
443,45.943
444,47.370
445,48.884
446,50.401
447,51.855
448,53.270
449,54.629
450,56.046
451,57.343
452,58.653
453,59.906
454,61.121
455,62.191
456,63.206
457,64.345
458,65.461
459,66.615
460,67.860
461,69.067
462,70.285
463,71.554
464,72.674
465,73.670
466,74.621
467,75.483
468,76.297
469,77.014
470,77.693
471,78.328
472,78.872
473,79.427
474,80.061
475,80.656
476,81.336
477,82.001
478,82.744
479,83.491
480,84.255
481,85.002
482,85.662
483,86.396
484,87.154
485,87.860
486,88.492
487,89.156
488,89.764
489,90.215
490,90.525
491,90.787
492,91.047
493,91.149
494,91.209
495,91.329
496,91.433
497,91.483
498,91.453
499,91.396
500,91.364
501,91.376
502,91.367
503,91.348
504,91.286
505,91.202
506,91.216
507,91.146
508,91.034
509,90.982
510,90.941
511,90.726
512,90.401
513,90.047
514,89.618
515,89.084
516,88.523
517,87.742
518,87.024
519,86.453
520,85.790
521,85.027
522,84.351
523,83.713
524,83.139
525,82.582
526,82.047
527,81.548
528,81.021
529,80.627
530,80.213
531,79.732
532,79.287
533,78.763
534,78.142
535,77.455
536,76.713
537,75.957
538,74.952
539,73.900
540,72.736
541,71.565
542,70.429
543,69.280
544,68.110
545,66.871
546,65.639
547,64.325
548,62.976
549,61.564
550,60.003
551,58.540
552,57.021
553,55.520
554,54.109
555,52.730
556,51.374
557,49.938
558,48.553
559,47.111
560,45.733
561,44.520
562,43.435
563,42.478
564,41.610
565,40.979
566,40.589
567,40.362
568,40.274
569,40.402
570,40.656
571,41.105
572,41.779
573,42.675
574,43.700
575,44.867
576,46.273
577,47.716
578,49.317
579,50.969
580,52.692
581,54.392
582,56.131
583,57.855
584,59.494
585,61.125
586,62.588
587,64.129
588,65.516
589,66.812
590,68.246
591,69.643
592,71.026
593,72.434
594,73.903
595,75.365
596,76.780
597,78.156
598,79.426
599,80.746
600,82.084
601,83.320
602,84.591
603,85.851
604,86.938
605,87.956
606,88.775
607,89.615
608,90.231
609,90.843
610,91.450
611,92.016
612,92.516
613,93.084
614,93.597
615,94.155
616,94.648
617,95.209
618,95.780
619,96.353
620,96.874
621,97.355
622,97.783
623,98.021
624,98.246
625,98.481
626,98.669
627,98.832
628,98.963
629,99.120
630,99.254
631,99.378
632,99.418
633,99.392
634,99.325
635,99.324
636,99.239
637,99.158
638,99.103
639,99.113
640,99.172
641,99.106
642,99.114
643,99.084
644,99.030
645,99.041
646,99.049
647,99.016
648,98.980
649,98.915
650,98.786
651,98.682
652,98.507
653,98.366
654,98.209
655,98.067
656,97.869
657,97.650
658,97.389
659,97.056
660,96.681
661,96.261
662,95.768
663,95.101
664,94.400
665,93.650
666,92.818
667,91.900
668,90.872
669,89.801
670,88.693
671,87.584
672,86.389
673,85.197
674,84.037
675,82.906
676,81.730
677,80.496
678,79.249
679,78.022
680,76.816
681,75.577
682,74.246
683,72.765
684,71.107
685,69.339
686,67.600
687,65.791
688,63.806
689,61.917
690,60.011
691,58.225
692,56.504
693,54.959
694,53.600
695,52.430
696,51.526
697,50.827
698,50.369
699,50.070
700,49.971
701,49.972
702,50.131
703,50.472
704,51.033
705,51.773
706,52.716
707,53.877
708,55.211
709,56.667
710,58.143
711,59.684
712,61.180
713,62.819
714,64.571
715,66.401
716,68.321
717,70.430
718,72.371
719,74.249
720,76.054
721,77.640
722,79.065
723,80.379
724,81.538
725,82.678
726,83.823
727,84.893
728,85.905
729,86.871
730,87.755
731,88.668
732,89.418
733,90.133
734,90.874
735,91.606
736,92.256
737,92.957
738,93.550
739,94.149
740,94.743
741,95.226
742,95.720
743,96.167
744,96.469
745,96.721
746,96.825
747,96.974
748,97.037
749,97.054
750,97.089
751,97.265
752,97.432
753,97.588
754,97.778
755,97.945
756,98.119
757,98.464
758,98.628
759,98.967
760,99.232
761,99.514
762,99.757
763,100.039
764,100.330
765,100.739
766,100.946
767,101.326
768,101.607
769,101.925
770,102.240
771,102.529
772,102.780
773,103.126
774,103.343
775,103.477
776,103.703
777,103.762
778,103.840
779,103.797
780,103.790
781,103.737
782,103.663
783,103.573
784,103.481
785,103.344
786,103.121
787,102.916
788,102.653
789,102.377
790,102.135
791,101.849
792,101.506
793,101.013
794,100.441
795,99.834
796,99.094
797,98.179
798,97.203
799,96.340
800,95.402
801,94.565
802,93.698
803,92.839
804,91.971
805,91.111
806,90.244
807,89.408
808,88.503
809,87.739
810,86.864
811,85.966
812,84.930
813,83.804
814,82.610
815,81.340
816,79.971
817,78.437
818,76.739
819,74.953
820,73.068
821,70.952
822,68.919
823,66.807
824,64.698
825,62.742
826,61.007
827,59.374
828,57.961
829,56.687
830,55.507
831,54.513
832,53.953
833,53.960
834,54.391
835,55.307
836,56.573
837,58.241
838,60.040
839,62.068
840,64.400
841,66.907
842,69.531
843,72.314
844,75.065
845,77.837
846,80.453
847,82.963
848,85.198
849,87.417
850,89.373
851,91.280
852,93.008
853,94.697
854,96.092
855,97.474
856,98.727
857,99.780
858,100.734
859,101.703
860,102.491
861,103.236
862,103.922
863,104.489
864,105.001
865,105.437
866,105.794
867,106.122
868,106.555
869,106.878
870,107.186
871,107.500
872,107.828
873,108.146
874,108.476
875,108.791
876,109.111
877,109.578
878,109.945
879,110.376
880,110.838
881,111.259
882,111.706
883,112.219
884,112.645
885,113.127
886,113.506
887,113.851
888,114.227
889,114.529
890,114.771
891,115.023
892,115.173
893,115.344
894,115.460
895,115.608
896,115.726
897,115.891
898,115.994
899,116.094
900,116.123
901,116.099
902,116.097
903,116.056
904,116.056
905,116.093
906,116.177
907,116.245
908,116.258
909,116.297
910,116.288
911,116.277
912,116.273
913,116.246
914,116.116
915,115.952
916,115.810
917,115.607
918,115.306
919,115.016
920,114.724
921,114.304
922,113.905
923,113.470
924,113.044
925,112.596
926,112.054
927,111.608
928,111.130
929,110.534
930,110.064
931,109.564
932,109.133
933,108.562
934,108.034
935,107.393
936,106.684
937,105.831
938,104.820
939,103.864
940,102.800
941,101.646
942,100.444
943,99.254
944,98.151
945,97.047
946,95.930
947,94.859
948,93.892
949,93.112
950,92.519
951,92.114
952,92.026
953,92.269
954,92.759
955,93.608
956,94.654
957,95.835
958,97.142
959,98.656
960,100.300
961,101.956
