Distance_(pixels),Gray_Value
0,20.911
1,20.942
2,21.001
3,21.011
4,21.066
5,21.091
6,21.114
7,21.137
8,21.092
9,21.036
10,21.120
11,21.209
12,21.352
13,21.440
14,21.559
15,21.632
16,21.715
17,21.822
18,21.966
19,22.112
20,22.311
21,22.491
22,22.695
23,22.830
24,22.934
25,23.042
26,23.080
27,23.196
28,23.242
29,23.380
30,23.539
31,23.601
32,23.730
33,23.787
34,23.779
35,23.764
36,23.835
37,23.890
38,23.935
39,23.925
40,23.993
41,24.121
42,24.222
43,24.396
44,24.512
45,24.537
46,24.672
47,24.818
48,24.944
49,25.070
50,25.114
51,25.257
52,25.359
53,25.332
54,25.356
55,25.353
56,25.361
57,25.379
58,25.393
59,25.431
60,25.466
61,25.488
62,25.484
63,25.547
64,25.613
65,25.668
66,25.673
67,25.657
68,25.630
69,25.624
70,25.620
71,25.642
72,25.669
73,25.698
74,25.726
75,25.665
76,25.603
77,25.573
78,25.492
79,25.480
80,25.429
81,25.336
82,25.295
83,25.238
84,25.226
85,25.183
86,25.158
87,25.157
88,25.145
89,25.096
90,25.106
91,25.079
92,25.049
93,24.972
94,24.925
95,24.945
96,24.929
97,24.921
98,24.923
99,24.896
100,24.822
101,24.800
102,24.811
103,24.816
104,24.859
105,24.886
106,24.862
107,24.939
108,25.038
109,25.118
110,25.170
111,25.275
112,25.387
113,25.445
114,25.593
115,25.699
116,25.750
117,25.770
118,25.847
119,25.930
120,25.958
121,26.011
122,26.059
123,26.047
124,26.113
125,26.139
126,26.118
127,26.217
128,26.267
129,26.343
130,26.419
131,26.500
132,26.535
133,26.538
134,26.554
135,26.598
136,26.619
137,26.726
138,26.796
139,26.867
140,27.068
141,27.217
142,27.421
143,27.510
144,27.616
145,27.763
146,27.912
147,28.095
148,28.252
149,28.517
150,28.649
151,28.840
152,29.047
153,29.112
154,29.110
155,29.174
156,29.299
157,29.248
158,29.221
159,29.199
160,29.163
161,29.071
162,28.984
163,28.855
164,28.712
165,28.493
166,28.362
167,28.296
168,28.287
169,28.101
170,28.015
171,27.988
172,27.990
173,28.000
174,28.063
175,27.998
176,28.034
177,28.020
178,28.075
179,28.097
180,28.146
181,28.178
182,28.131
183,28.207
184,28.200
185,28.217
186,28.152
187,28.007
188,27.857
189,27.684
190,27.585
191,27.441
192,27.280
193,27.082
194,26.926
195,26.749
196,26.569
197,26.380
198,26.199
199,26.065
200,25.901
201,25.704
202,25.523
203,25.439
204,25.308
205,25.204
206,25.141
207,25.087
208,25.035
209,24.916
210,24.901
211,24.824
212,24.753
213,24.693
214,24.584
215,24.528
216,24.442
217,24.402
218,24.387
219,24.398
220,24.325
221,24.271
222,24.226
223,24.262
224,24.394
225,24.528
226,24.699
227,24.843
228,25.036
229,25.274
230,25.582
231,25.878
232,26.157
233,26.487
234,26.744
235,27.031
236,27.387
237,27.670
238,27.943
239,28.193
240,28.488
241,28.603
242,28.792
243,28.970
244,29.159
245,29.329
246,29.467
247,29.619
248,29.822
249,29.868
250,29.988
251,30.065
252,30.167
253,30.226
254,30.313
255,30.370
256,30.483
257,30.634
258,30.787
259,31.021
260,31.108
261,31.247
262,31.449
263,31.681
264,31.873
265,32.032
266,32.225
267,32.434
268,32.614
269,32.816
270,32.990
271,33.068
272,33.126
273,33.269
274,33.363
275,33.444
276,33.562
277,33.710
278,33.839
279,34.044
280,34.147
281,34.321
282,34.518
283,34.667
284,34.865
285,35.027
286,35.127
287,35.244
288,35.371
289,35.477
290,35.534
291,35.612
292,35.628
293,35.674
294,35.649
295,35.640
296,35.589
297,35.486
298,35.375
299,35.251
300,35.116
301,34.965
302,34.856
303,34.776
304,34.701
305,34.649
306,34.606
307,34.509
308,34.469
309,34.352
310,34.300
311,34.246
312,34.179
313,34.118
314,34.100
315,34.049
316,34.004
317,33.925
318,33.837
319,33.731
320,33.594
321,33.472
322,33.321
323,33.193
324,33.029
325,32.808
326,32.617
327,32.464
328,32.333
329,32.208
330,32.121
331,32.009
332,31.902
333,31.883
334,31.876
335,31.811
336,31.824
337,31.925
338,31.985
339,32.052
340,32.106
341,32.133
342,32.264
343,32.355
344,32.451
345,32.599
346,32.730
347,32.884
348,33.110
349,33.303
350,33.541
351,33.778
352,34.011
353,34.267
354,34.469
355,34.692
356,34.887
357,35.145
358,35.378
359,35.630
360,35.875
361,36.211
362,36.477
363,36.740
364,37.052
365,37.391
366,37.670
367,37.975
368,38.365
369,38.701
370,39.071
371,39.474
372,39.834
373,40.205
374,40.520
375,40.829
376,41.188
