Distance_(pixels),Gray_Value
0,26.665
1,26.812
2,26.986
3,27.117
4,27.393
5,27.483
6,27.674
7,27.714
8,27.748
9,27.733
10,27.637
11,27.529
12,27.353
13,27.087
14,26.836
15,26.505
16,26.278
17,25.919
18,25.569
19,25.208
20,24.785
21,24.485
22,24.281
23,24.004
24,23.722
25,23.559
26,23.426
27,23.343
28,23.409
29,23.636
30,23.892
31,24.213
32,24.663
33,25.048
34,25.418
35,25.906
36,26.366
37,26.844
38,27.305
39,27.710
40,28.053
41,28.482
42,28.805
43,29.034
44,29.276
45,29.403
46,29.497
47,29.568
48,29.499
49,29.502
50,29.376
51,29.166
52,28.999
53,28.876
54,28.595
55,28.297
56,28.047
57,27.706
58,27.377
59,27.021
60,26.647
61,26.331
62,25.965
63,25.703
64,25.394
65,25.125
66,24.938
67,24.823
68,24.795
69,24.905
70,25.156
71,25.433
72,25.883
73,26.320
74,26.769
75,27.257
76,27.789
77,28.382
78,28.973
79,29.573
80,30.159
81,30.896
82,31.405
83,31.934
84,32.366
85,32.669
86,32.884
87,33.049
88,33.160
89,33.254
90,33.262
91,33.164
92,32.939
93,32.709
94,32.404
95,31.963
96,31.512
97,31.043
98,30.690
99,30.253
100,29.903
101,29.620
102,29.346
103,29.199
104,29.124
105,29.159
106,29.259
107,29.318
108,29.448
109,29.580
110,29.793
111,30.042
112,30.223
113,30.517
114,30.866
115,31.216
116,31.540
117,31.920
118,32.221
119,32.621
120,33.013
121,33.412
122,33.755
123,34.065
124,34.360
125,34.574
126,34.837
127,34.958
128,34.985
129,34.960
130,34.897
131,34.822
132,34.631
133,34.365
134,34.049
135,33.636
136,33.204
137,32.744
138,32.278
139,31.855
140,31.393
141,30.918
142,30.337
143,29.895
144,29.551
145,29.244
146,29.180
147,29.205
148,29.164
149,29.182
150,29.248
151,29.497
152,29.736
153,30.150
154,30.670
155,31.237
156,31.894
157,32.623
158,33.247
159,33.929
160,34.581
161,35.137
162,35.592
163,36.154
164,36.570
165,36.921
166,37.186
167,37.345
168,37.321
169,37.299
170,37.224
171,37.030
172,36.833
173,36.647
174,36.422
175,36.262
176,36.110
177,35.990
178,35.813
179,35.706
180,35.567
181,35.427
182,35.293
183,35.168
184,35.182
185,35.309
186,35.438
187,35.599
188,35.808
189,35.942
190,36.116
191,36.217
192,36.328
193,36.462
194,36.717
195,36.993
196,37.386
197,37.695
198,38.026
199,38.298
200,38.531
201,38.754
202,38.994
203,39.181
204,39.314
205,39.613
206,39.788
207,40.045
208,40.242
209,40.327
210,40.402
211,40.218
212,40.053
213,39.862
214,39.470
215,39.074
216,38.683
217,38.279
218,37.819
