Distance_(pixels),Gray_Value
0,1.5516
1,1.6120
2,1.6237
3,1.6830
4,1.6979
5,1.8579
6,1.8635
7,1.8839
8,1.9632
9,2.0695
10,2.0844
11,2.1130
12,2.1120
13,2.2526
14,2.2572
15,2.2157
16,2.2234
17,2.2807
18,2.3241
19,2.3952
20,2.4049
21,2.5107
22,2.5158
23,2.5169
24,2.6022
25,2.7198
26,2.8364
27,2.8937
28,2.8860
29,3.0680
30,3.0838
31,3.1595
32,3.2367
33,3.4852
34,3.5598
35,3.5997
36,3.6375
37,3.8599
38,3.9131
39,4.0542
40,4.1559
41,4.3911
42,4.4397
43,4.4969
44,4.5547
45,4.8609
46,4.9305
47,5.0501
48,5.1319
49,5.3911
50,5.5112
51,5.6748
52,5.8078
53,5.9939
54,6.0925
55,6.2909
56,6.4857
57,6.8799
58,7.0833
59,7.2209
60,7.3487
61,7.6115
62,7.7689
63,8.0552
64,8.3124
65,8.7275
66,8.9264
67,9.1227
68,9.2546
69,9.4530
70,9.5762
71,9.7883
72,10.0138
73,10.4320
74,10.6759
75,10.9284
76,11.1028
77,11.4075
78,11.6293
79,11.9918
80,12.3931
81,12.8512
82,13.2587
83,13.5317
84,13.7684
85,14.1559
86,14.4346
87,14.7423
88,15.0307
89,15.3655
90,15.6416
91,15.9044
92,16.0327
93,16.3804
94,16.5798
95,16.9678
96,17.3686
97,17.6605
98,17.9928
99,18.3517
100,18.6268
101,19.0475
102,19.3635
103,19.7771
104,20.1442
105,20.6472
106,21.0982
107,21.5337
108,21.7444
109,22.2295
110,22.5414
111,22.9790
112,23.3344
113,23.7434
114,24.1227
115,24.4443
116,24.6534
117,25.1426
118,25.3354
119,25.6345
120,26.0112
121,26.4780
122,26.9294
123,27.3926
124,27.6575
125,28.0291
126,28.2428
127,28.6518
128,28.9024
129,29.2623
130,29.5982
131,30.0281
132,30.3415
133,30.9003
134,31.1759
135,31.6053
136,31.9433
137,32.2321
138,32.4688
139,32.7566
140,32.9514
141,33.3221
142,33.5680
143,33.9351
144,34.3277
145,34.7797
146,35.2096
147,35.5307
148,35.7536
149,36.2710
150,36.5266
151,36.8502
152,37.2418
153,37.6697
154,38.0486
155,38.3374
156,38.5199
157,38.9724
158,39.0460
159,39.5082
160,40.0741
161,40.5174
162,40.7168
163,40.9770
164,41.1759
165,41.5961
166,41.9806
167,42.4105
168,42.7710
169,43.3671
170,43.9105
171,44.2193
172,44.1805
173,44.4116
174,44.6912
175,45.1656
176,45.5092
177,45.7684
178,46.0281
179,46.4479
180,46.7408
181,47.4637
182,47.8487
183,48.3308
184,48.6288
185,48.9090
186,49.0230
187,49.2188
188,49.3594
189,49.8727
190,50.1820
191,50.5383
192,50.7076
193,50.9484
194,51.2735
195,51.6503
196,51.8129
197,52.4259
198,52.5721
199,52.7853
200,52.9484
201,53.1662
202,53.5041
203,54.0266
204,54.1518
205,54.3175
206,54.6534
207,55.0210
208,55.2030
209,55.4448
210,55.5327
211,55.8717
212,56.2316
213,56.6488
214,56.8441
215,57.0665
216,57.1963
217,57.6150
218,57.8921
219,58.3282
220,58.5511
221,58.9939
222,58.9075
223,59.5256
224,60.0082
225,60.1355
226,60.1355
227,60.5583
228,60.8640
229,61.8206
230,61.6120
231,61.6789
232,61.9351
233,62.4330
234,63.0337
235,63.7127
236,63.9928
237,64.0675
238,64.1161
239,64.7955
240,65.5250
241,65.5992
242,65.9893
243,66.6564
244,66.6222
245,67.0271
246,66.8487
247,67.2618
248,67.8384
249,68.2950
250,68.8824
251,69.3793
252,69.8400
253,70.6856
254,70.4652
255,71.2004
256,71.1943
257,71.4831
258,71.4780
259,72.0143
260,72.0700
261,72.8809
262,72.6636
263,73.3175
264,74.2715
265,74.4248
266,74.6401
267,75.8159
268,76.1263
269,76.4064
270,76.1196
271,76.4197
272,76.3870
273,76.9351
274,77.9530
275,78.5552
276,78.2981
277,78.6835
278,79.2628
279,80.0460
280,79.6232
281,79.4821
282,79.2699
283,79.2822
284,80.4944
285,81.7418
286,81.5925
287,82.0414
288,82.4366
289,82.9013
290,82.1161
291,82.2004
292,82.9484
293,83.1089
294,83.4617
295,84.1841
296,83.5061
297,84.5210
298,85.3098
299,85.2214
300,85.2157
301,85.1973
302,84.5199
303,85.3251
304,85.6907
305,86.5266
306,86.6733
307,85.9254
308,86.0823
309,87.1355
310,87.2280
311,87.7326
312,87.5102
313,87.8860
314,88.4499
315,88.6196
316,88.7025
317,89.0118
318,88.2495
319,89.1958
320,89.9187
321,89.8686
322,88.9458
323,88.0690
324,88.4356
325,89.1554
326,88.9560
327,88.9811
328,89.2735
329,88.7342
330,87.4218
331,88.6559
332,89.3967
333,89.3103
334,89.7873
335,90.5971
336,89.5491
337,89.1922
338,89.5879
339,89.6723
340,88.8349
341,88.8834
342,89.4985
343,90.1973
344,89.3916
345,88.4243
346,88.9785
347,88.8093
348,88.3594
349,88.9279
350,89.1186
351,89.7449
352,89.6176
353,89.2388
354,87.8497
355,87.5353
356,87.7306
357,88.0409
358,86.6063
359,85.5976
360,86.0133
361,87.2413
362,87.5026
363,87.4990
364,87.1503
365,87.0987
366,86.3497
367,86.5573
368,86.1135
369,85.4801
370,85.5711
371,85.0358
372,84.8211
373,85.5757
374,85.5987
375,85.0639
376,83.9080
377,83.4300
378,83.4514
379,83.0092
380,82.8420
381,83.0138
382,82.4289
383,82.9923
384,82.6871
385,81.4059
386,81.0578
387,81.4018
388,81.0971
389,81.3993
390,80.5849
391,80.6350
392,79.2797
393,78.5450
394,77.8124
395,77.7991
396,77.4530
397,77.5971
398,77.5910
399,77.5128
400,76.8226
401,76.2766
402,75.9100
403,75.5803
404,75.0716
405,75.1764
406,74.8236
407,75.3185
408,75.0808
409,74.8921
410,73.7643
411,73.3093
412,73.2520
413,73.3149
414,72.2464
415,71.9974
416,71.9908
417,72.3466
418,71.8374
419,71.0465
420,70.2572
421,70.7157
422,70.0327
423,68.7597
424,67.8211
425,67.8993
426,67.9770
427,68.0337
428,68.0276
429,68.0348
430,67.0107
431,66.5762
432,66.1595
433,66.3292
434,66.0312
435,65.2464
436,65.0465
437,65.3584
438,64.8067
439,63.8880
440,63.4693
441,63.7142
442,63.1406
443,62.8492
444,62.5588
445,62.7347
446,62.4622
447,62.4029
448,62.0537
449,61.3809
450,61.3747
451,61.4085
452,60.6610
453,60.6886
454,60.1656
455,59.6544
456,59.4310
457,59.5721
458,59.7398
459,59.7894
460,59.2055
461,58.8047
462,58.4484
463,58.2996
464,58.1406
465,58.1176
466,57.9596
467,57.4995
468,57.1273
469,57.0133
470,56.8599
471,56.7889
472,56.7541
473,56.6140
474,56.3047
475,55.9709
476,55.5660
477,55.6355
478,55.3926
479,55.3088
480,55.0685
481,54.8206
482,54.3374
483,54.0578
484,53.5752
485,53.9223
486,53.6150
487,53.1559
488,52.7454
489,52.5527
490,52.2868
491,52.2147
492,51.9627
493,51.9008
494,51.2147
495,50.5726
496,50.3804
497,50.4857
498,50.1687
499,49.8640
500,49.4888
501,49.2377
502,48.9652
503,48.7945
504,48.3415
505,47.9407
506,47.8200
507,47.6846
508,47.2014
509,46.9586
510,46.6115
511,46.3615
512,45.9187
513,45.6391
514,45.3773
515,45.0782
516,44.6309
517,44.3574
518,44.2203
519,43.8625
520,43.3926
521,43.2239
522,43.1472
523,42.9305
524,42.4059
525,42.2147
526,41.8814
527,41.7127
528,41.4668
529,41.1743
530,40.7311
531,40.2960
532,39.8318
533,39.8246
534,39.4305
535,39.2249
536,38.9172
537,38.6708
538,38.3804
539,38.0700
540,37.7873
541,37.6109
542,37.2868
543,36.9744
544,36.6043
545,36.2480
546,35.8533
547,35.6503
548,35.2889
549,35.2372
550,35.1391
551,34.9218
552,34.4663
553,34.1334
554,33.9340
555,33.7725
556,33.4847
557,33.4202
558,32.9729
559,32.6135
560,32.1498
561,31.9228
562,31.5107
563,31.1012
564,30.5567
565,30.4218
566,30.1667
567,29.9755
568,29.6089
569,29.4729
570,29.2106
571,28.8558
572,28.3758
573,28.2480
574,27.9632
575,27.6892
576,27.3211
577,27.0660
578,26.8476
579,26.6247
580,26.2612
581,26.0925
582,25.7894
583,25.4627
584,25.1585
585,24.8640
586,24.4218
587,23.9857
588,23.6897
589,23.6247
590,23.4003
591,23.3405
592,23.1539
593,22.8947
594,22.4729
595,22.3216
596,22.0890
597,21.9003
598,21.4749
599,21.1130
600,20.8885
601,20.6840
602,20.4116
603,20.1626
604,19.9637
605,19.7413
606,19.4918
607,19.3113
608,19.1600
609,18.9596
610,18.7168
611,18.6314
612,18.4673
613,18.2526
614,17.9857
615,17.7664
616,17.5378
617,17.3379
618,17.1258
619,16.8456
620,16.5654
621,16.5465
622,16.3737
623,16.1626
624,16.0435
625,15.9141
626,15.7582
627,15.5527
628,15.3579
629,15.2296
630,15.0782
631,14.8778
632,14.7004
633,14.5133
634,14.4591
635,14.3804
636,14.1973
637,14.1789
638,14.0399
639,13.9187
640,13.7658
641,13.6007
642,13.4632
643,13.3502
644,13.2766
645,13.1488
646,13.0910
647,12.9842
648,12.9340
649,12.8308
650,12.7572
651,12.6989
652,12.6605
653,12.5199
654,12.4780
655,12.3548
656,12.2423
657,12.1324
658,12.0685
659,11.9448
660,11.8799
661,11.7889
662,11.7735
663,11.7572
664,11.7198
665,11.6360
666,11.5496
667,11.4412
668,11.3430
669,11.3282
670,11.3308
671,11.2802
672,11.2439
673,11.1933
674,11.2071
675,11.1217
676,11.0874
677,10.9939
678,10.9811
679,10.9678
680,10.9110
681,10.9034
682,10.8998
683,10.8548
684,10.8446
685,10.7065
686,10.7178
687,10.6866
688,10.6881
