Distance_(pixels),Gray_Value
0,1.000
1,1.000
2,1.000
3,1.000
4,1.000
5,1.000
6,1.000
7,1.000
8,1.000
9,1.000
10,1.000
11,1.000
12,1.000
13,1.000
14,1.000
15,1.000
16,1.000
17,1.000
18,1.000
19,1.000
20,1.000
21,1.000
22,1.000
23,1.000
24,1.000
25,1.000
26,1.000
27,1.000
28,1.000
29,1.000
30,1.000
31,1.026
32,1.027
33,1.000
34,1.000
35,1.000
36,1.000
37,1.031
38,1.032
39,2.000
40,2.000
41,2.000
42,2.000
43,2.000
44,2.000
45,2.000
46,2.000
47,2.000
48,2.000
49,2.000
50,2.000
51,2.000
52,2.000
53,2.000
54,2.000
55,2.046
56,2.047
57,2.000
58,3.000
59,3.000
60,3.000
61,3.333
62,3.333
63,3.333
64,3.333
65,3.639
66,3.639
67,4.611
68,4.610
69,4.609
70,4.608
71,4.000
72,4.000
73,4.000
74,4.000
75,4.906
76,5.000
77,5.667
78,5.667
79,5.667
80,5.667
81,5.333
82,6.333
83,6.333
84,6.333
85,7.000
86,7.000
87,8.000
88,8.000
89,8.000
90,8.000
91,9.000
92,9.000
93,8.961
94,8.961
95,9.000
96,9.000
97,9.000
98,9.877
99,10.000
100,10.000
101,10.291
102,10.333
103,11.000
104,11.130
105,12.667
106,12.667
107,13.532
108,13.712
109,15.000
110,15.138
111,14.945
112,15.807
113,16.953
114,17.286
115,18.189
116,19.376
117,19.520
118,19.568
119,19.667
120,19.667
121,20.000
122,20.435
123,21.718
124,22.719
125,23.843
126,24.123
127,25.333
128,25.667
129,26.613
130,27.109
131,28.224
132,28.389
133,28.556
134,28.838
135,29.672
136,30.504
137,31.505
138,33.667
139,34.826
140,36.158
141,36.333
142,36.607
143,38.248
144,38.245
145,37.606
146,37.939
147,38.000
148,38.000
149,37.249
150,37.522
151,37.540
152,38.412
153,39.667
154,40.398
155,40.667
156,41.000
157,42.530
158,43.730
159,50.535
160,49.731
161,47.670
162,46.875
163,48.273
164,50.529
165,51.931
166,51.208
167,52.543
168,51.755
169,51.091
170,51.093
171,52.143
172,53.425
173,55.842
174,56.690
175,56.122
176,55.299
177,54.593
178,55.298
179,56.824
180,58.355
181,60.242
182,60.381
183,62.361
184,62.590
185,61.131
186,58.600
187,60.469
188,65.056
189,68.323
190,69.475
191,65.760
192,64.482
193,62.372
194,62.379
195,65.667
196,67.683
197,66.172
198,63.915
199,65.417
200,67.248
201,70.829
202,73.324
203,73.660
204,71.683
205,71.200
206,73.775
207,75.433
208,72.218
209,69.765
210,72.072
211,77.892
212,77.511
213,75.914
214,78.846
215,82.031
216,78.897
217,77.604
218,78.670
219,79.850
220,79.747
221,78.297
222,77.409
223,76.893
224,77.052
225,76.863
226,76.950
227,77.806
228,79.525
229,78.904
230,77.371
231,79.140
232,82.595
233,83.990
234,81.235
235,78.038
236,78.222
237,80.820
238,82.866
239,84.367
240,84.362
241,84.496
242,84.101
243,83.407
244,82.408
245,83.717
246,84.646
247,84.873
248,85.896
249,87.271
250,87.954
251,88.580
252,88.895
253,88.212
254,87.212
255,89.173
256,88.535
257,86.860
258,89.921
259,84.517
260,91.586
261,107.704
262,96.366
263,90.007
264,84.985
265,88.332
266,91.998
267,88.667
268,88.560
269,88.662
270,82.022
271,93.707
272,97.111
273,86.431
274,84.490
275,97.934
276,117.386
277,120.100
278,98.906
279,83.318
280,75.369
281,90.859
282,110.333
283,111.957
284,105.402
285,98.978
286,95.033
287,128.131
288,132.255
289,112.670
290,89.636
291,87.509
292,101.457
293,113.049
294,132.440
295,138.422
296,135.067
297,134.321
298,121.078
299,117.876
300,99.796
301,102.142
302,117.818
303,124.920
304,124.584
305,110.337
306,102.569
307,111.985
308,109.864
309,116.605
310,150.980
311,167.114
312,151.027
313,159.870
314,173.414
315,162.675
316,138.483
317,133.852
318,143.524
319,142.335
320,127.727
321,118.528
322,122.115
323,127.325
324,136.675
325,143.586
326,134.121
327,130.359
328,124.652
329,116.854
330,124.352
331,153.561
332,135.558
333,129.997
334,178.146
335,189.715
336,177.180
337,150.230
338,141.452
339,128.131
340,129.821
341,170.927
342,195.392
343,207.435
344,191.335
345,179.897
346,164.158
347,156.422
348,165.559
349,160.086
350,168.005
351,163.927
352,164.636
353,168.619
354,159.812
355,170.156
356,178.644
357,176.719
358,199.512
359,188.670
360,177.539
361,199.069
362,188.404
363,176.046
364,161.763
365,131.611
366,136.174
367,172.568
368,199.438
369,189.549
370,178.453
371,186.523
372,199.645
373,203.957
374,197.046
375,200.412
376,193.715
377,193.445
378,186.659
379,188.324
380,172.829
381,148.146
382,172.146
383,203.346
384,187.897
385,157.515
386,149.944
387,189.245
388,206.531
389,201.972
390,201.206
391,199.591
392,190.545
393,196.895
394,202.513
395,189.206
396,179.251
397,163.648
398,176.639
399,189.855
400,191.199
401,200.004
402,165.507
403,165.333
404,188.054
405,190.563
406,184.496
407,170.703
408,140.865
409,137.885
410,145.681
411,186.176
412,204.184
413,201.379
414,202.641
415,201.529
416,195.553
417,194.305
418,194.788
419,197.880
420,201.581
421,182.988
422,139.983
423,146.015
424,171.003
425,192.689
426,203.224
427,199.904
428,182.371
429,178.620
430,185.749
431,165.858
432,176.349
433,198.638
434,193.089
435,181.963
436,172.753
437,175.560
438,165.000
439,151.562
440,143.937
441,170.893
442,180.457
443,171.590
444,181.061
445,144.175
446,131.581
447,148.161
448,148.442
449,155.569
450,139.989
451,145.271
452,149.746
453,148.986
454,144.870
455,142.949
456,157.842
457,144.292
458,128.555
459,122.417
460,138.135
461,133.435
462,121.079
463,135.968
464,147.984
465,150.639
466,141.390
467,128.232
468,114.517
469,122.822
470,128.607
471,132.076
472,105.356
473,113.859
474,114.693
475,101.214
476,97.263
477,101.793
478,107.399
479,110.929
480,128.822
481,143.041
482,127.200
483,104.566
484,99.942
485,105.229
486,112.374
487,123.222
488,128.292
489,131.818
490,122.612
491,109.702
492,105.885
493,109.450
494,111.138
495,100.319
496,94.124
497,93.105
498,105.082
499,105.644
500,98.582
501,104.295
502,108.470
503,93.200
504,83.995
505,90.149
506,109.043
507,104.818
508,86.300
509,83.686
510,89.560
511,88.718
512,94.212
513,90.506
514,84.065
515,93.415
516,109.885
517,111.315
518,101.734
519,90.000
520,83.957
521,88.577
522,92.575
523,88.698
524,88.228
525,89.180
526,88.887
527,88.903
528,88.900
529,89.560
530,89.893
531,91.000
532,90.667
533,90.004
534,89.797
535,85.995
536,83.776
537,83.449
538,86.125
539,89.578
540,90.258
541,86.727
542,82.414
543,83.744
544,85.471
545,87.684
546,88.945
547,88.046
548,86.104
549,86.481
550,88.103
551,85.852
552,82.767
553,82.612
554,82.476
555,82.452
556,84.062
557,81.430
558,75.834
559,74.299
560,78.703
561,82.778
562,83.782
563,82.786
564,80.205
565,76.920
566,75.121
567,74.385
568,76.532
569,79.098
570,79.471
571,79.602
572,79.541
573,79.113
574,77.373
575,77.409
576,74.406
577,72.495
578,72.041
579,73.279
580,72.541
581,69.445
582,66.333
583,69.546
584,69.828
585,67.773
586,65.353
587,66.088
588,68.628
589,68.363
590,65.887
591,65.184
592,63.943
593,63.946
594,64.685
595,64.000
596,63.243
597,62.498
598,61.499
599,63.503
600,62.506
601,61.754
602,61.511
603,60.757
604,60.000
605,60.426
606,59.521
607,60.000
608,59.746
609,59.509
610,58.412
611,56.645
612,55.107
613,55.103
614,55.536
615,55.551
616,54.681
617,53.000
618,51.551
619,51.220
620,51.296
621,52.294
622,52.740
623,53.521
624,53.928
625,54.712
626,54.499
627,53.240
628,52.455
629,51.526
630,51.086
631,49.819
632,50.345
633,50.137
634,50.530
635,50.667
636,50.933
637,50.667
638,50.599
639,49.997
640,46.924
641,45.855
642,45.250
643,44.246
644,41.704
645,39.333
646,38.621
647,39.102
648,37.626
649,36.814
650,36.184
651,36.728
652,35.727
653,35.213
654,34.581
655,34.904
656,34.451
657,34.509
658,34.333
659,34.609
660,34.609
661,34.610
662,34.333
663,35.496
664,33.833
665,33.000
666,33.000
667,33.837
668,33.343
669,31.399
670,29.841
671,28.667
672,27.771
673,26.593
674,26.154
675,26.565
676,26.464
677,25.283
678,25.433
679,25.284
680,24.333
681,24.049
682,24.048
683,23.762
684,23.619
685,23.859
686,23.000
687,23.000
688,23.000
689,22.667
690,22.532
691,22.489
692,21.623
693,21.913
694,20.624
695,20.667
696,20.333
697,20.333
698,19.000
699,19.000
700,18.667
701,18.707
702,18.333
703,18.215
704,18.217
705,18.218
706,18.219
707,18.220
708,18.110
709,18.113
710,18.115
711,16.261
712,15.667
713,15.667
714,14.667
715,14.667
716,14.667
717,14.667
718,14.667
719,13.333
720,13.333
721,13.333
722,13.333
723,13.210
724,13.211
725,13.213
726,13.215
727,12.667
728,12.667
729,12.333
730,12.333
731,12.333
732,12.333
733,12.000
734,12.000
735,12.000
736,11.000
737,10.667
738,10.667
739,10.667
740,10.595
741,10.596
742,9.667
743,9.712
744,9.711
745,9.710
746,9.709
747,9.708
748,9.708
749,9.687
750,9.686
751,10.000
752,10.000
753,10.000
754,10.000
755,10.000
756,10.000
757,10.000
758,10.000
759,9.952
760,9.954
761,9.955
762,9.956
763,10.000
764,10.000
765,10.000
766,10.000
767,8.667
768,8.667
769,8.667
770,8.667
771,8.667
772,8.667
773,8.667
774,8.667
775,9.639
776,9.640
777,9.642
778,9.643
779,9.644
780,9.645
781,9.647
782,9.648
783,8.667
784,8.667
785,8.667
786,8.667
787,8.667
788,8.667
789,8.667
790,8.667
791,8.667
792,8.667
793,8.667
794,8.667
795,8.667
796,8.667
797,8.667
