Distance_(pixels),Gray_Value
0,6.667
1,6.667
2,6.667
3,6.667
4,6.667
5,6.667
6,7.667
7,7.667
8,9.000
9,8.000
10,8.000
11,8.000
12,8.333
13,8.333
14,8.333
15,9.333
16,9.333
17,9.333
18,9.333
19,9.333
20,10.333
21,10.333
22,10.333
23,10.333
24,10.333
25,11.333
26,11.667
27,12.667
28,11.667
29,11.667
30,12.000
31,12.000
32,12.000
33,12.000
34,13.000
35,13.000
36,12.667
37,12.667
38,12.667
39,13.667
40,14.000
41,15.000
42,15.333
43,16.394
44,16.000
45,16.000
46,16.333
47,17.400
48,17.667
49,17.667
50,18.667
51,18.667
52,18.333
53,18.333
54,18.333
55,19.411
56,19.667
57,19.667
58,19.667
59,19.833
60,21.333
61,22.333
62,23.667
63,23.667
64,23.667
65,23.667
66,24.667
67,25.667
68,25.429
69,26.333
70,26.864
71,27.968
72,28.797
73,30.024
74,30.438
75,31.000
76,33.011
77,33.007
78,33.223
79,32.887
80,33.435
81,33.428
82,34.421
83,35.414
84,36.000
85,36.640
86,37.302
87,37.790
88,39.000
89,40.333
90,40.333
91,40.667
92,42.000
93,42.000
94,41.333
95,41.333
96,40.740
97,41.333
98,42.333
99,44.000
100,43.333
101,44.809
102,45.432
103,46.018
104,48.362
105,50.556
106,51.449
107,50.453
108,49.124
109,49.205
110,48.867
111,48.960
112,49.000
113,50.202
114,52.884
115,54.179
116,56.181
117,57.008
118,58.500
119,60.157
120,58.147
121,55.000
122,53.000
123,53.000
124,52.333
125,53.333
126,54.155
127,54.462
128,54.638
129,55.969
130,58.850
131,61.370
132,62.119
133,62.564
134,63.432
135,63.856
136,62.847
137,62.258
138,62.523
139,63.311
140,66.480
141,68.472
142,68.667
143,68.667
144,71.446
145,74.209
146,70.573
147,63.798
148,63.458
149,63.281
150,62.274
151,62.600
152,65.356
153,65.982
154,65.972
155,67.627
156,70.322
157,68.335
158,69.997
159,72.014
160,71.701
161,70.031
162,70.980
163,74.770
164,80.305
165,77.065
166,74.777
167,74.138
168,77.718
169,80.901
170,82.720
171,82.725
172,85.915
173,84.466
174,78.596
175,77.161
176,80.576
177,82.167
178,78.088
179,75.575
180,82.729
181,83.722
182,85.105
183,86.210
184,86.452
185,83.117
186,79.969
187,82.164
188,89.266
189,87.665
190,87.723
191,88.524
192,88.147
193,87.151
194,87.274
195,89.102
196,86.667
197,85.667
198,86.667
199,86.823
200,83.972
201,84.815
202,87.000
203,86.860
204,88.136
205,89.000
206,89.667
207,87.790
208,87.785
209,88.781
210,89.777
211,88.773
212,89.203
213,89.903
214,92.627
215,93.822
216,92.000
217,90.000
218,92.616
219,97.475
220,111.119
221,118.428
222,124.350
223,120.058
224,108.825
225,104.696
226,107.314
227,109.384
228,98.243
229,87.185
230,80.590
231,79.284
232,86.237
233,106.312
234,120.734
235,116.730
236,111.667
237,79.637
238,100.975
239,115.936
240,104.000
241,106.064
242,105.873
243,106.773
244,95.113
245,101.723
246,103.794
247,103.304
248,88.503
249,97.321
250,129.557
251,125.079
252,107.198
253,113.595
254,117.763
255,130.456
256,137.740
257,125.096
258,119.480
259,135.328
260,154.904
261,149.651
262,138.977
263,131.545
264,128.322
265,137.840
266,147.486
267,135.525
268,137.260
269,127.578
270,122.390
271,146.544
272,173.960
273,174.917
274,177.734
275,147.353
276,111.757
277,100.924
278,113.907
279,132.852
280,113.249
281,133.862
282,178.740
283,157.093
284,120.062
285,160.302
286,164.992
287,174.470
288,184.203
289,169.708
290,169.983
291,190.857
292,181.424
293,173.917
294,171.150
295,163.250
296,176.887
297,188.210
298,189.297
299,166.240
300,146.339
301,150.847
302,156.169
303,144.195
304,147.960
305,164.343
306,186.271
307,182.737
308,168.554
309,157.537
310,140.096
311,138.922
312,159.780
313,189.133
314,206.011
315,206.763
316,206.079
317,169.010
318,187.415
319,190.473
320,166.339
321,189.452
322,182.836
323,150.001
324,188.062
325,206.284
326,199.234
327,176.016
328,181.520
329,204.089
330,211.076
331,200.113
332,194.819
333,186.585
334,161.203
335,179.648
336,184.791
337,190.086
338,200.966
339,196.261
340,202.362
341,205.555
342,194.760
343,187.412
344,201.209
345,170.931
346,193.641
347,207.708
348,208.384
349,207.469
350,194.924
351,176.042
352,145.621
