Distance_(pixels),Gray_Value
0,0.1003
1,0.0908
2,0.0868
3,0.1036
4,0.1003
5,0.0986
6,0.0958
7,0.0852
8,0.0812
9,0.0857
10,0.0857
11,0.1120
12,0.1098
13,0.0992
14,0.0947
15,0.0885
16,0.0880
17,0.1148
18,0.1154
19,0.1669
20,0.1625
21,0.1625
22,0.1563
23,0.1339
24,0.1429
25,0.1462
26,0.1619
27,0.1793
28,0.1804
29,0.2106
30,0.2185
31,0.2146
32,0.2045
33,0.1759
34,0.1860
35,0.2062
36,0.2017
37,0.1983
38,0.1916
39,0.2034
40,0.2028
41,0.1978
42,0.2011
43,0.2269
44,0.2286
45,0.2543
46,0.2577
47,0.2527
48,0.2487
49,0.2207
50,0.2316
51,0.2553
52,0.2665
53,0.2702
54,0.2698
55,0.2609
56,0.2626
57,0.2730
58,0.2909
59,0.3135
60,0.3122
61,0.3414
62,0.3567
63,0.3511
64,0.3412
65,0.3365
66,0.3636
67,0.3580
68,0.3627
69,0.3580
70,0.3645
71,0.3466
72,0.3333
73,0.3503
74,0.3662
75,0.3524
76,0.3651
77,0.3873
78,0.3935
79,0.3944
80,0.3688
81,0.3795
82,0.3929
83,0.5014
84,0.4975
85,0.4979
86,0.4993
87,0.5098
88,0.5100
89,0.5302
90,0.5464
91,0.5804
92,0.5899
93,0.6293
94,0.6400
95,0.6401
96,0.6471
97,0.6575
98,0.6833
99,0.7740
100,0.7832
101,0.7727
102,0.7716
103,0.7507
104,0.7671
105,0.8039
106,0.8271
107,0.8403
108,0.8495
109,0.8596
110,0.8474
111,0.8450
112,0.8542
113,0.8930
114,0.9175
115,0.9653
116,0.9664
117,0.9714
118,0.9740
119,0.9823
120,0.9847
121,1.0207
122,1.0482
123,1.0584
124,1.0881
125,1.1051
126,1.1206
127,1.1266
128,1.1522
129,1.1968
130,1.2441
131,1.2782
132,1.2835
133,1.3158
134,1.3163
135,1.3386
136,1.3649
137,1.3869
138,1.4170
139,1.5324
140,1.5193
141,1.5483
142,1.5535
143,1.5404
144,1.5542
145,1.5785
146,1.6187
147,1.6866
148,1.6979
149,1.7311
150,1.7572
151,1.7772
152,1.7798
153,1.7978
154,1.8275
155,1.8321
156,1.8398
157,1.8669
158,1.8885
159,1.8965
160,1.9023
161,1.9752
162,2.0004
163,2.0504
164,2.0502
165,2.1025
166,2.1281
167,2.1458
168,2.2035
169,2.2784
170,2.3401
