Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,1.000
18,1.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,0.000
41,0.000
42,0.000
43,0.000
44,0.000
45,0.000
46,0.000
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,1.000
56,1.000
57,0.000
58,0.000
59,0.000
60,1.000
61,1.000
62,1.000
63,1.000
64,0.000
65,0.000
66,1.000
67,1.000
68,0.000
69,0.000
70,1.000
71,1.000
72,1.000
73,1.000
74,1.000
75,1.000
76,1.000
77,1.000
78,1.000
79,1.000
80,1.000
81,1.000
82,1.000
83,1.000
84,1.000
85,1.000
86,1.000
87,1.000
88,1.000
89,1.000
90,1.000
91,1.000
92,1.000
93,1.000
94,1.000
95,1.000
96,1.000
97,1.000
98,1.000
99,1.000
100,1.000
101,1.000
102,1.000
103,1.000
104,1.000
105,1.193
106,1.667
107,1.667
108,1.667
109,1.667
110,1.333
111,1.333
112,1.333
113,1.333
114,1.333
115,1.333
116,1.333
117,1.333
118,2.000
119,2.000
120,2.000
121,2.000
122,2.000
123,2.000
124,2.000
125,2.000
126,1.431
127,1.427
128,2.000
129,2.000
130,2.000
131,2.000
132,2.000
133,2.000
134,3.000
135,2.086
136,2.000
137,2.000
138,2.667
139,2.706
140,3.386
141,3.379
142,4.000
143,4.000
144,3.350
145,3.346
146,3.341
147,3.333
148,4.000
149,4.008
150,2.667
151,3.319
152,3.333
153,4.000
154,4.000
155,4.000
156,3.333
157,3.333
158,3.287
159,3.333
160,3.333
161,4.000
162,4.000
163,4.103
164,5.000
165,5.000
166,5.124
167,5.130
168,5.000
169,5.000
170,4.817
171,4.824
172,4.667
173,4.667
174,5.333
175,5.333
176,5.333
177,5.333
178,5.333
179,5.333
180,5.333
181,5.333
182,6.333
183,6.333
184,6.579
185,7.333
186,7.333
187,7.333
188,7.333
189,7.333
190,6.333
191,6.333
192,6.633
193,7.333
194,7.333
195,6.333
196,6.007
197,5.333
198,6.333
199,6.333
200,7.000
201,7.000
202,7.000
203,7.000
204,7.000
205,7.000
206,7.000
207,7.599
208,8.000
209,9.000
210,9.000
211,8.000
212,7.565
213,7.000
214,7.034
215,7.030
216,7.025
217,7.333
218,7.333
219,7.333
220,7.822
221,7.829
222,8.667
223,7.667
224,8.183
225,9.190
226,9.196
227,8.203
228,7.667
229,8.667
230,9.000
231,9.000
232,10.000
233,10.000
234,9.584
235,9.591
236,9.597
237,10.604
238,9.333
239,9.333
240,9.333
241,9.333
242,9.333
243,9.333
244,9.333
245,9.333
246,9.333
247,9.333
248,9.333
249,9.333
250,9.333
251,9.333
252,9.333
253,9.333
254,10.000
255,11.000
256,11.733
257,11.739
258,10.333
259,10.333
260,11.000
261,11.766
262,11.000
263,11.000
264,11.000
265,11.000
266,11.866
267,12.667
268,13.667
269,13.667
270,12.391
271,13.333
272,15.174
273,16.333
274,17.188
275,16.333
276,15.333
277,14.333
278,13.079
279,15.667
280,17.562
281,17.569
282,15.575
283,13.667
284,13.667
285,14.667
286,14.731
287,15.724
288,17.667
289,17.623
290,17.629
291,16.636
292,15.643
293,15.650
294,14.667
295,15.663
296,15.667
297,15.677
298,14.701
299,14.690
300,15.667
301,15.667
302,15.333
303,15.283
304,14.276
305,15.269
306,16.404
307,17.411
308,16.503
309,16.425
310,14.202
311,14.333
312,15.333
313,16.096
314,16.875
315,17.132
316,18.139
317,18.146
318,13.920
319,13.773
320,15.166
321,17.173
322,18.359
323,18.558
324,17.719
325,16.800
326,19.000
327,24.000
328,27.560
329,26.320
330,21.100
331,18.827
332,19.914
333,21.413
334,22.812
335,22.799
336,22.059
337,20.333
338,20.333
339,20.333
340,20.936
341,21.257
342,19.981
343,19.988
344,20.995
345,21.002
346,21.325
347,21.318
348,21.601
349,21.339
350,21.298
351,22.291
352,22.667
353,21.667
354,21.063
355,20.667
356,20.257
357,21.250
358,23.244
359,22.667
360,22.794
361,23.780
362,23.766
363,22.124
364,21.594
365,21.137
366,21.856
367,22.817
368,21.843
369,21.841
370,28.325
371,36.844
372,36.220
373,30.240
374,24.261
375,25.205
376,25.667
377,24.563
378,23.550
379,22.102
380,21.667
381,22.245
382,24.252
383,24.667
384,25.201
385,25.192
386,25.000
387,25.000
388,25.000
389,24.633
390,27.613
391,27.687
392,27.102
393,26.200
394,25.778
395,26.667
396,27.306
397,26.667
398,26.442
399,25.469
400,24.317
401,23.524
402,25.357
403,28.453
404,32.484
405,35.196
406,34.922
407,33.170
408,29.697
409,26.411
410,25.117
411,25.540
412,25.968
413,27.333
414,28.396
415,26.191
416,25.184
417,25.533
418,26.513
419,27.000
420,26.843
421,26.151
422,28.190
423,29.470
424,29.854
425,29.704
426,29.450
427,29.333
428,31.230
429,32.430
430,36.513
431,38.085
432,35.953
433,31.125
434,27.521
435,26.724
436,27.579
437,27.418
438,28.631
439,30.609
440,31.623
441,30.651
442,27.684
443,26.668
444,26.667
445,26.667
446,28.667
447,27.641
448,28.602
449,29.628
450,29.575
451,27.614
452,27.568
453,28.535
454,30.594
455,32.587
456,33.827
457,32.814
458,32.900
459,35.893
460,39.107
461,40.093
462,39.953
463,40.066
464,38.333
465,37.333
466,36.487
467,37.333
468,39.998
469,41.636
470,34.333
471,30.521
472,28.796
473,30.535
474,33.333
475,32.333
476,30.333
477,28.819
478,31.333
479,35.575
480,39.582
481,41.333
482,42.142
483,41.860
484,38.839
485,36.536
486,31.711
487,30.803
488,30.798
489,31.277
490,32.612
491,32.805
492,33.337
493,34.667
494,41.293
495,42.616
496,45.310
497,47.030
498,44.408
499,39.667
500,36.283
501,36.103
502,34.462
503,34.475
504,34.078
505,33.085
506,32.667
507,32.667
508,34.790
509,36.035
510,35.548
511,33.541
512,32.822
513,34.667
514,36.535
515,36.362
516,37.025
517,38.003
518,39.462
519,37.812
520,38.706
521,39.614
522,38.998
523,35.646
524,34.578
525,35.929
526,36.160
527,36.312
528,37.496
529,37.610
530,37.364
531,36.042
532,33.601
533,32.393
534,31.386
535,32.632
536,33.667
537,34.301
538,37.547
539,41.333
540,43.333
541,41.672
542,37.330
543,37.992
544,36.667
545,35.148
546,36.753
547,40.071
548,42.085
549,41.098
550,39.499
551,38.479
552,36.931
553,34.667
554,34.000
555,34.667
556,36.667
557,37.897
558,39.443
559,37.234
560,38.371
561,43.188
562,43.411
563,40.431
564,38.635
565,39.824
566,42.662
567,51.325
568,52.112
569,41.780
570,35.477
571,35.972
572,37.990
573,36.333
574,38.230
575,39.108
576,39.203
577,38.190
578,37.333
579,36.333
580,38.592
581,40.599
582,41.606
583,40.558
584,40.493
585,42.464
586,42.198
587,40.279
588,39.333
589,40.347
590,39.667
591,37.667
592,36.349
593,37.023
594,38.653
595,38.649
596,40.633
597,42.707
598,41.761
599,38.775
600,37.415
601,38.113
602,37.964
603,37.992
604,38.843
605,39.761
606,41.333
607,43.333
608,43.333
609,41.122
610,39.924
611,41.937
612,43.284
613,42.780
614,47.022
615,50.504
616,51.503
617,46.333
618,45.151
619,52.954
620,53.941
621,45.594
622,38.140
623,41.117
624,42.663
625,40.643
626,38.430
627,38.585
628,39.584
629,40.333
630,42.069
631,42.063
632,41.389
633,41.382
634,40.958
635,40.964
636,41.276
637,41.371
638,40.970
639,39.308
640,38.997
641,40.333
642,40.873
643,39.981
644,39.145
645,39.763
646,41.411
647,43.046
648,44.409
649,45.227
650,46.403
651,47.188
652,46.899
653,46.622
654,43.721
655,43.000
656,42.133
657,43.942
658,52.477
659,61.608
660,61.778
661,55.368
662,48.519
663,45.000
664,42.000
665,43.000
666,44.333
667,44.333
668,44.333
669,45.333
670,45.799
671,49.153
672,52.333
673,52.888
674,48.000
675,43.431
676,43.041
677,45.836
678,49.056
679,49.213
680,47.936
681,45.552
682,45.616
683,46.377
684,46.161
685,44.576
686,46.976
687,48.983
688,51.104
689,52.446
690,54.550
691,56.185
692,54.793
693,52.064
694,49.111
695,48.197
696,48.036
697,49.776
698,49.081
699,47.641
700,47.650
701,47.915
702,51.673
703,58.226
704,62.059
705,59.333
706,53.258
707,50.548
708,49.736
709,49.204
