Distance_(pixels),Gray_Value
0,4.000
1,3.339
2,3.344
3,4.024
4,5.000
5,5.000
6,4.048
7,3.371
8,3.376
9,3.333
10,3.333
11,3.333
12,3.333
13,3.667
14,4.000
15,5.000
16,6.000
17,5.000
18,6.000
19,7.000
20,7.559
21,6.667
22,5.667
23,7.482
24,8.667
25,5.266
26,5.264
27,5.333
28,5.333
29,5.333
30,5.333
31,5.333
32,5.333
33,4.667
34,4.909
35,5.000
36,5.096
37,5.099
38,5.333
39,5.333
40,5.333
41,6.000
42,7.000
43,8.000
44,8.354
45,8.000
46,8.000
47,8.000
48,8.614
49,9.606
50,9.000
51,9.000
52,9.000
53,8.000
54,8.000
55,8.000
56,8.000
57,7.667
58,7.667
59,8.667
60,9.667
61,9.667
62,8.667
63,9.000
64,9.000
65,9.000
66,9.000
67,9.000
68,9.000
69,9.000
70,9.000
71,9.000
72,9.000
73,9.000
74,8.595
75,8.603
76,8.611
77,9.000
78,10.000
79,11.000
80,11.357
81,10.000
82,10.000
83,11.000
84,11.000
85,11.317
86,11.000
87,11.000
88,10.000
89,10.000
90,10.723
91,11.000
92,11.000
93,11.748
94,11.756
95,12.000
96,12.000
97,11.780
98,12.000
99,13.667
100,14.667
101,14.667
102,13.667
103,12.667
104,12.503
105,13.000
106,13.148
107,13.140
108,13.132
109,13.000
110,13.116
111,14.108
112,15.100
113,16.183
114,14.167
115,13.076
116,14.068
117,15.059
118,14.051
119,13.043
120,14.035
121,14.000
122,14.000
123,13.000
124,13.000
125,14.000
126,14.000
127,13.333
128,13.333
129,14.296
130,14.288
131,14.667
132,14.667
133,15.598
134,15.667
135,16.581
136,16.573
137,17.101
138,17.000
139,17.883
140,18.000
141,17.000
142,16.000
143,17.000
144,20.000
145,20.000
146,19.000
147,18.000
148,17.000
149,17.000
150,17.206
151,18.214
152,19.222
153,20.230
154,19.238
155,19.246
156,18.254
157,18.508
158,18.513
159,19.333
160,19.333
161,19.333
162,19.333
163,19.333
164,19.333
165,19.558
166,19.555
167,19.667
168,19.667
169,17.692
170,17.700
171,17.708
172,17.716
173,18.333
174,19.333
175,19.927
176,20.504
177,18.488
178,18.472
179,19.456
180,20.439
181,22.333
182,23.796
183,23.747
184,24.250
185,23.128
186,28.638
187,30.692
188,26.223
189,20.186
190,18.139
191,18.667
192,18.667
193,18.000
194,18.000
195,18.568
196,18.000
197,18.000
198,18.000
199,19.000
200,20.000
201,19.205
202,19.333
203,19.333
204,19.333
205,19.333
206,19.333
207,19.333
208,19.333
209,19.333
210,19.333
211,19.232
212,19.531
213,19.525
214,19.800
215,19.029
216,18.755
217,19.248
218,19.251
219,21.014
220,22.562
221,23.663
222,23.118
223,23.667
224,23.667
225,22.730
226,21.728
227,22.825
228,23.833
229,24.841
230,25.000
231,25.143
232,26.270
233,25.587
234,24.690
235,24.888
236,26.054
237,27.124
238,25.970
239,23.061
240,20.189
241,20.105
242,20.091
243,21.713
244,24.667
245,24.667
246,22.667
247,21.667
248,21.673
249,22.667
250,22.667
251,22.667
252,21.692
253,21.667
254,21.667
255,22.667
256,22.725
257,24.601
258,22.667
259,21.667
260,23.577
261,25.471
262,24.667
263,22.667
264,21.667
265,20.000
266,20.667
267,21.667
268,21.512
269,20.558
270,20.553
271,20.667
272,21.853
273,20.861
274,20.869
275,20.667
276,20.667
277,21.667
278,22.667
279,23.667
280,23.667
281,23.914
282,24.000
283,23.725
284,23.717
285,23.000
286,22.533
287,22.845
288,23.315
289,23.000
290,24.994
291,26.696
292,25.389
293,24.645
294,25.273
295,25.629
296,25.759
297,25.162
298,24.791
299,23.006
300,22.333
301,23.580
302,26.717
303,27.822
304,26.781
305,23.795
306,23.234
307,23.000
308,23.476
309,23.484
310,23.984
311,23.500
312,22.672
313,23.183
314,24.874
315,27.951
316,31.781
317,34.085
318,33.340
319,32.557
320,32.818
321,32.569
322,31.020
323,29.456
324,27.876
325,27.892
326,28.908
327,30.295
328,31.940
329,32.535
330,33.583
331,32.971
332,30.673
333,27.344
334,26.000
335,26.205
336,27.265
337,26.624
338,27.616
339,29.333
340,31.800
341,34.298
342,36.578
343,34.634
344,31.160
345,34.080
346,35.355
347,36.614
348,34.059
349,30.472
350,28.480
351,28.488
352,29.496
353,34.803
354,33.593
355,30.813
356,28.528
357,28.536
358,27.585
359,26.409
360,26.475
361,28.569
362,28.577
363,29.503
364,29.593
365,29.601
366,29.609
367,29.333
368,29.292
369,31.266
370,31.282
371,31.316
372,31.324
373,32.332
374,34.340
375,37.348
376,39.378
377,35.969
378,34.039
379,33.140
380,35.164
381,36.104
382,34.976
383,33.895
384,32.493
385,30.477
386,29.863
387,28.963
388,29.119
389,30.127
390,30.270
391,29.572
392,29.453
393,27.038
394,27.834
395,27.842
396,27.850
397,27.525
398,26.732
399,26.012
400,25.810
401,27.333
402,29.333
403,30.094
404,28.333
405,26.000
406,25.333
407,26.486
408,28.480
409,32.703
410,35.263
411,36.206
412,33.774
413,33.374
414,34.349
415,32.997
416,29.677
417,31.685
418,31.693
419,31.070
420,31.333
421,31.333
422,30.726
423,30.334
424,30.347
425,28.861
426,34.293
427,50.468
428,38.452
429,32.885
430,32.420
431,38.939
432,39.443
433,34.449
434,34.912
435,34.686
436,33.647
437,32.128
438,30.799
439,30.314
440,30.667
441,31.667
442,33.667
443,33.667
444,33.236
445,36.680
446,40.699
447,39.124
448,34.135
449,33.057
450,37.197
451,40.540
452,39.866
453,36.793
454,35.402
455,34.703
456,34.671
457,34.109
458,32.894
459,33.793
460,36.496
461,40.804
462,42.809
463,41.371
464,39.540
465,35.048
466,34.767
467,35.487
468,35.698
469,33.663
470,32.962
471,34.524
472,37.118
473,40.736
474,40.557
475,39.000
476,38.000
477,37.499
478,37.491
479,37.483
480,37.616
481,36.800
482,35.917
483,36.901
484,37.776
485,36.667
486,34.573
487,33.581
488,34.589
489,32.759
490,32.687
491,32.649
492,32.652
493,33.642
494,35.647
495,37.660
496,38.675
497,37.665
498,40.654
499,42.622
500,39.609
501,36.585
502,39.525
503,42.493
504,40.461
505,32.845
506,34.667
507,37.742
508,39.419
509,42.225
510,48.461
511,52.339
512,49.681
513,44.254
514,41.403
515,38.473
516,39.333
517,43.199
518,52.175
519,59.667
520,60.387
521,57.188
522,44.464
523,40.932
524,38.313
525,37.893
526,39.000
527,37.000
528,40.763
529,37.249
530,36.247
531,36.065
532,36.355
533,35.098
534,34.691
535,36.098
536,39.099
537,41.050
538,42.667
539,44.998
540,46.371
541,46.411
542,46.451
543,49.190
544,51.984
545,48.477
546,45.001
547,43.000
548,43.000
549,45.333
550,47.755
551,47.763
552,48.208
553,49.109
554,46.000
555,45.256
556,45.803
557,41.856
558,40.333
559,41.827
560,42.832
561,41.785
562,40.298
563,42.089
564,48.998
565,53.083
566,50.584
567,50.102
568,53.289
569,61.438
570,52.418
571,46.623
572,44.931
573,44.677
574,44.076
575,44.081
576,43.297
577,43.546
578,46.394
579,48.370
580,45.671
581,44.674
582,51.369
583,55.706
584,54.417
585,46.928
586,46.070
587,46.021
588,46.333
589,43.714
590,44.647
591,54.337
592,64.886
593,55.800
594,50.658
595,47.987
596,46.791
597,45.136
598,46.579
599,50.000
600,50.646
601,48.000
602,48.000
603,49.181
604,51.044
605,53.923
606,56.947
607,56.213
608,54.446
609,47.050
610,52.526
611,56.333
612,61.494
613,57.478
614,50.333
615,53.221
616,49.333
617,47.414
618,49.365
619,50.309
620,57.237
621,65.237
622,64.333
623,61.667
624,66.586
625,73.261
626,67.333
627,61.441
628,60.365
629,64.831
630,71.678
631,69.494
632,60.357
633,57.558
634,56.044
635,53.229
636,51.333
637,49.868
638,50.462
639,56.470
640,64.719
641,78.875
642,75.898
643,69.312
644,66.762
645,68.188
646,62.755
647,53.404
648,48.960
649,47.723
650,47.975
651,48.521
652,48.310
653,50.583
654,54.505
655,57.333
656,58.818
657,55.333
658,53.140
659,54.468
660,57.389
661,59.432
662,61.856
663,62.023
664,59.650
665,58.000
666,55.472
667,61.085
668,69.219
669,73.511
670,75.386
671,72.637
672,63.579
673,57.267
674,58.746
675,60.852
676,66.736
677,71.326
678,68.450
679,63.916
680,65.198
681,68.051
682,75.447
683,75.432
684,68.492
685,62.368
686,59.601
687,58.294
688,57.435
689,62.308
690,62.862
691,72.281
692,85.169
693,83.854
694,73.579
695,71.826
696,79.810
697,72.148
698,64.669
699,65.699
700,77.418
701,81.477
702,71.597
703,61.403
704,58.129
705,57.667
706,60.368
707,65.783
708,70.815
709,73.163
710,72.496
711,73.480
712,74.333
713,82.398
714,72.625
715,73.152
716,74.068
717,84.219
718,83.822
719,87.006
720,82.454
721,75.204
722,74.392
723,68.690
724,73.207
725,72.953
726,65.115
727,70.502
728,78.101
729,91.114
730,84.429
731,76.959
732,73.744
733,69.441
734,61.166
735,57.425
736,59.333
737,62.566
738,55.401
739,59.452
740,71.897
741,78.450
742,83.717
743,83.530
744,76.974
745,69.023
746,69.675
747,71.686
748,74.808
749,73.959
750,73.222
751,81.926
752,94.730
753,90.159
754,78.809
755,71.551
756,79.384
757,80.326
758,87.014
759,102.147
760,94.751
761,69.549
762,67.666
763,64.044
764,58.525
765,56.832
766,64.646
767,76.325
768,81.375
769,89.455
770,82.304
771,79.073
772,78.255
773,76.025
774,81.335
775,89.057
776,91.192
777,93.606
778,82.762
779,81.740
780,76.952
781,83.821
782,78.196
783,77.275
784,77.969
785,79.977
786,85.061
787,82.789
788,81.331
789,76.658
790,68.299
791,72.742
792,80.789
793,81.458
794,77.609
795,77.276
796,76.680
797,76.339
798,79.096
799,80.438
800,81.431
801,79.618
802,79.773
803,85.608
804,84.908
805,82.160
806,93.166
807,107.949
808,107.039
809,99.849
810,100.459
811,101.218
812,88.751
813,88.000
814,81.580
815,83.115
816,79.131
817,81.829
818,82.393
819,88.749
820,85.750
821,82.668
822,81.451
823,78.667
824,84.162
825,85.599
826,96.253
827,100.573
828,95.337
829,91.587
830,89.901
831,86.440
832,84.878
833,84.696
834,76.296
835,72.722
836,73.506
837,77.036
838,87.693
839,93.569
840,87.448
841,73.823
842,77.982
843,82.125
844,90.098
845,97.719
846,90.408
847,80.377
848,80.150
849,78.192
850,82.503
851,87.144
852,91.213
853,90.951
854,85.532
855,85.333
856,91.857
857,96.778
858,95.897
859,95.523
860,90.796
861,89.087
862,98.788
863,104.310
864,98.235
865,84.480
866,83.551
867,79.606
868,81.554
869,87.536
870,84.622
871,80.660
872,81.583
873,93.454
874,85.512
875,85.498
876,83.876
877,75.265
878,77.130
879,80.593
880,75.518
881,78.492
882,105.730
883,117.111
884,104.898
885,85.221
886,78.074
887,83.710
888,85.667
889,90.341
890,85.696
891,78.732
892,78.030
893,88.822
894,87.881
895,78.278
896,84.274
897,82.141
898,96.262
899,106.586
900,104.554
901,95.162
902,83.081
903,82.243
904,80.154
905,77.625
906,77.151
907,78.709
908,77.773
909,86.126
910,82.293
911,83.728
912,79.680
913,80.274
914,77.875
915,77.966
916,105.062
917,120.191
918,74.793
919,71.550
920,67.604
921,67.655
922,70.845
923,73.965
924,76.441
925,82.769
926,82.369
927,82.980
928,74.701
929,73.441
930,70.844
931,78.602
932,76.602
933,71.167
934,66.169
935,66.064
936,63.857
937,70.780
938,88.621
939,89.096
940,106.106
941,109.869
942,84.893
943,81.411
944,84.705
945,82.983
946,81.706
947,81.738
948,79.447
949,88.058
950,95.699
951,98.325
952,82.676
953,75.922
954,80.004
955,76.606
956,80.982
957,90.745
958,84.358
959,88.921
960,81.452
961,75.749
962,72.823
963,71.083
964,70.512
965,71.904
966,75.582
967,73.040
968,67.219
969,66.228
970,69.194
971,69.250
972,82.068
973,91.751
974,93.348
975,95.154
976,86.284
977,80.098
978,78.401
979,81.406
980,84.300
981,92.438
982,93.242
983,84.752
984,86.700
985,90.710
986,79.914
987,76.275
988,76.721
989,72.718
990,74.307
991,83.847
992,86.692
993,88.684
994,86.913
995,67.340
996,71.391
997,75.725
998,71.932
999,81.817
1000,79.474
1001,84.294
1002,82.120
1003,75.479
1004,69.566
1005,71.867
1006,78.434
1007,80.158
1008,76.181
1009,69.888
1010,65.047
1011,63.127
1012,66.595
1013,70.000
1014,73.849
1015,73.523
1016,70.221
1017,65.783
1018,66.667
1019,67.391
1020,86.343
1021,99.474
1022,90.984
1023,85.330
1024,84.547
1025,81.186
1026,79.199
1027,78.860
1028,72.682
1029,80.728
1030,79.786
1031,82.106
1032,78.887
1033,88.464
1034,90.021
1035,90.707
1036,90.768
1037,77.520
1038,67.602
1039,70.906
1040,66.626
1041,69.686
1042,66.376
1043,66.384
1044,68.431
1045,66.999
1046,62.831
1047,62.165
1048,63.496
1049,65.793
1050,63.631
1051,62.657
1052,63.333
1053,61.404
1054,59.279
1055,59.974
1056,61.890
1057,65.510
1058,75.981
1059,74.974
1060,64.000
1061,59.099
1062,58.796
1063,58.242
1064,58.447
1065,58.391
