Distance_(pixels),Gray_Value
0,6.8541
1,6.8724
2,6.9129
3,6.9073
4,6.9715
5,6.9923
6,7.0636
7,7.0873
8,7.1013
9,7.0998
10,7.1061
11,7.1199
12,7.1185
13,7.1190
14,7.1360
15,7.1124
16,7.1183
17,7.1176
18,7.1358
19,7.1577
20,7.1416
21,7.1084
22,7.1047
23,7.1161
24,7.1075
25,7.1027
26,7.0878
27,7.0690
28,7.0629
29,7.0547
30,7.0710
31,7.1041
32,7.1317
33,7.1271
34,7.1190
35,7.0962
36,7.1301
37,7.1020
38,7.1061
39,7.0935
40,7.1557
41,7.1849
42,7.1891
43,7.1731
44,7.1756
45,7.2109
46,7.2565
47,7.2910
48,7.2921
49,7.2887
50,7.3222
51,7.3294
52,7.3573
53,7.4115
54,7.4878
55,7.5344
56,7.5790
57,7.5896
58,7.5980
59,7.6228
60,7.6392
61,7.6663
62,7.7315
63,7.7418
64,7.7839
65,7.7982
66,7.8242
67,7.8516
68,7.9143
69,7.9197
70,7.9435
71,7.9534
72,7.9627
73,7.9744
74,7.9765
75,7.9631
76,7.9299
77,7.9206
78,7.9452
79,7.9455
80,7.9384
81,7.9367
82,7.8848
83,7.8167
84,7.8606
85,7.8504
86,7.8443
87,7.8357
88,7.8341
89,7.8020
90,7.7746
91,7.7283
92,7.6975
93,7.7095
94,7.7464
95,7.7484
96,7.7652
97,7.7047
98,7.7219
99,7.7186
100,7.7353
101,7.7482
102,7.7964
103,7.8215
104,7.8423
105,7.8699
106,7.8955
107,7.9260
108,8.0491
109,8.0790
110,8.1814
111,8.2375
112,8.3043
113,8.3323
114,8.3923
115,8.3982
116,8.5659
117,8.6151
118,8.6961
119,8.7530
120,8.8362
121,8.8744
122,8.9195
123,8.9430
124,8.9765
125,8.9473
126,8.9808
127,8.9978
128,9.0590
129,9.0849
130,9.0805
131,9.0520
132,9.1065
133,9.1351
134,9.1505
135,9.1498
136,9.1744
137,9.1561
138,9.1550
139,9.0977
140,9.1443
141,9.1337
142,9.1563
143,9.1520
144,9.1430
145,9.1203
146,9.1151
147,9.0998
148,9.0715
149,9.1036
150,9.1887
151,9.2722
152,9.3790
153,9.4475
154,9.4688
155,9.4735
156,9.5962
157,9.6613
158,9.7839
159,9.8591
160,9.9471
161,10.0299
162,10.1434
163,10.2410
164,10.4866
165,10.5833
166,10.7032
167,10.7665
168,10.8552
169,10.9335
170,11.0627
171,11.0871
172,11.1281
173,11.1885
174,11.2973
175,11.3774
176,11.4889
177,11.5964
178,11.6943
179,11.7772
180,11.9152
181,12.0369
182,12.1910
183,12.3306
184,12.4751
185,12.6228
186,12.7536
187,12.8534
188,13.0054
189,13.1213
190,13.3330
191,13.5321
192,13.7504
193,13.8783
194,14.0068
195,14.0455
196,14.1722
197,14.2004
198,14.2466
199,14.2222
200,14.1731
201,14.0461
202,13.9794
203,13.8520
204,13.7160
205,13.6004
206,13.5805
207,13.5201
208,13.5149
209,13.3910
210,13.3287
211,13.2916
212,13.4729
213,13.5376
214,13.7253
215,13.8731
216,14.0181
217,14.1419
218,14.3649
219,14.5453
220,14.8133
221,15.0258
222,15.3686
223,15.6290
224,15.9000
225,16.1708
226,16.4099
227,16.6057
228,16.8109
229,17.0229
230,17.2262
231,17.3493
232,17.4366
233,17.5593
234,17.6950
235,17.7821
236,17.8731
237,17.9638
238,18.1174
239,18.1824
240,18.1918
241,18.1194
242,18.0892
243,18.0633
244,18.1079
245,18.1559
246,18.2665
247,18.3754
248,18.5668
249,18.7586
250,18.9720
251,19.0599
252,19.3254
253,19.5667
254,19.9407
255,20.3056
256,20.6873
257,21.0068
258,21.2760
259,21.4667
260,21.7471
261,21.9353
262,22.1925
263,22.4349
264,22.6385
265,22.8174
266,23.1066
267,23.3565
268,23.6258
269,23.8380
270,24.1405
271,24.3215
272,24.4448
273,24.4790
274,24.4878
275,24.4319
276,24.4116
277,24.2077
278,24.1222
279,23.9984
280,23.9720
281,23.8124
282,23.7222
283,23.5414
284,23.2907
285,23.0765
286,22.9996
287,22.8681
288,22.8421
289,22.7957
290,22.8624
291,22.8876
292,23.1715
293,23.3226
294,23.6029
295,23.8376
296,24.1394
297,24.3769
298,24.6387
299,24.8059
300,25.0563
301,25.1247
302,25.2823
303,25.3638
304,25.5185
305,25.5943
306,25.6679
307,25.6448
308,25.6975
309,25.6588
310,25.6984
311,25.6685
312,25.7271
313,25.7315
314,25.7478
315,25.6627
316,25.7335
317,25.7047
318,25.8203
319,25.8833
320,26.0038
321,26.0366
322,26.1030
323,26.1235
324,26.2760
325,26.4326
326,26.6935
327,26.8891
328,27.1118
329,27.3011
330,27.4909
331,27.6176
332,27.9588
333,28.1758
334,28.5769
335,28.9677
336,29.3792
337,29.7108
338,30.0362
339,30.2427
340,30.5518
341,30.7278
342,31.0271
343,31.2421
344,31.4518
345,31.5475
346,31.6480
347,31.6237
348,31.6418
349,31.5919
350,31.6479
351,31.5966
352,31.6111
353,31.5394
354,31.5403
355,31.5106
356,31.7249
357,31.8676
358,32.1285
359,32.2882
360,32.5158
361,32.6654
362,32.8939
363,33.0113
364,33.3462
365,33.5281
366,33.8104
367,33.8986
368,34.0181
369,34.0688
370,34.1434
371,34.1369
372,34.1964
373,34.2593
374,34.4276
375,34.4955
376,34.6369
377,34.7287
378,34.8563
379,34.8833
380,35.0953
381,35.1679
382,35.3660
383,35.4932
384,35.7120
385,35.8159
386,35.9448
387,35.9577
388,36.1887
389,36.2978
390,36.5294
391,36.6131
392,36.7690
393,36.9665
394,37.2045
395,37.3690
396,37.6498
397,37.7027
398,37.8543
399,37.9513
400,38.1077
401,38.2102
402,38.3728
403,38.4536
404,38.5912
405,38.6197
406,38.7330
407,38.6867
408,38.6806
409,38.5858
410,38.6226
411,38.6620
412,38.9014
413,39.0446
414,39.3392
415,39.6375
416,40.0023
417,40.3918
418,40.8660
419,41.2005
420,41.6504
421,41.9984
422,42.5654
423,43.0176
424,43.4471
425,43.7966
426,44.1100
427,44.2588
428,44.5416
429,44.7147
430,45.0319
431,45.2500
432,45.4778
433,45.6932
434,45.9355
435,46.0314
436,46.2771
437,46.4375
438,46.6450
439,46.7534
440,46.8631
441,46.8518
442,46.8699
443,46.8789
