Distance_(pixels),Gray_Value
0,10.000
1,10.000
2,10.000
3,9.040
4,9.053
5,9.066
6,9.080
7,9.093
8,10.000
9,10.000
10,10.289
11,10.285
12,9.440
13,9.449
14,9.271
15,9.267
16,9.262
17,9.258
18,9.254
19,9.502
20,9.511
21,9.798
22,10.097
23,10.102
24,10.106
25,11.111
26,11.449
27,11.812
28,12.039
29,12.667
30,12.333
31,12.333
32,12.900
33,12.918
34,13.118
35,13.667
36,13.188
37,13.175
38,14.667
39,14.667
40,14.667
41,15.122
42,15.109
43,14.667
44,14.667
45,14.667
46,15.000
47,15.000
48,14.638
49,14.651
50,14.664
51,14.678
52,15.000
53,15.000
54,14.898
55,15.115
56,15.922
57,15.909
58,15.896
59,15.883
60,16.667
61,16.667
62,16.667
63,17.667
64,17.816
65,18.803
66,19.667
67,20.557
68,20.570
69,21.501
70,21.287
71,22.296
72,23.305
73,24.284
74,24.633
75,23.660
76,21.677
77,19.690
78,18.703
79,17.716
80,16.730
81,15.743
82,16.667
83,16.667
84,16.667
85,16.204
86,15.286
87,15.000
88,15.667
89,15.667
90,14.667
91,14.000
92,14.518
93,14.509
94,15.667
95,17.421
96,19.667
97,20.570
98,22.566
99,26.123
100,27.557
101,28.000
102,32.118
103,33.210
104,34.951
105,36.736
106,37.728
107,38.000
108,39.522
109,39.850
110,41.538
111,41.000
112,41.000
113,40.833
114,41.485
115,41.824
116,42.125
117,42.445
118,43.099
119,39.419
120,36.000
121,32.725
122,31.712
123,29.667
124,26.333
125,23.667
126,21.326
127,20.667
128,19.333
129,17.905
130,15.667
131,14.580
132,13.421
133,13.023
134,11.927
135,11.667
136,11.667
137,11.547
138,11.556
139,11.000
140,11.000
141,11.000
142,11.667
143,11.667
144,11.638
145,11.333
146,11.333
147,11.333
148,11.333
149,11.333
150,11.333
151,11.336
152,11.340
153,11.344
154,11.636
155,11.627
156,12.618
157,12.609
158,14.667
159,15.667
160,16.126
161,16.140
162,16.486
163,16.555
164,17.607
165,17.795
166,17.275
167,18.292
168,18.643
169,18.328
170,18.679
171,18.424
172,17.429
173,17.433
174,17.771
175,17.775
176,17.780
177,17.352
178,17.365
179,17.379
180,17.392
181,17.405
182,17.419
183,17.811
184,19.333
185,20.333
186,22.315
187,23.323
188,24.832
189,26.016
190,26.017
191,27.333
192,30.551
193,33.000
194,35.333
195,38.333
196,41.333
197,42.333
198,44.246
199,45.785
200,47.895
201,49.329
202,51.667
203,52.868
204,55.333
205,57.150
206,59.683
207,57.915
208,56.138
209,56.371
210,56.682
211,57.797
212,58.667
213,59.390
214,61.896
215,64.333
216,65.463
217,64.566
218,62.103
219,61.393
220,62.924
221,64.000
222,64.950
223,64.000
224,61.333
225,60.323
226,58.332
227,56.667
228,55.303
229,54.623
230,49.723
231,47.070
232,44.000
233,40.667
234,39.333
235,37.374
236,37.091
237,36.533
238,38.388
239,41.000
240,43.919
241,46.338
242,49.360
243,50.896
244,51.667
245,51.915
246,52.936
247,53.855
248,55.099
249,56.333
250,56.548
251,57.112
252,57.566
253,57.937
254,62.751
255,64.833
256,65.402
257,60.836
258,56.524
259,55.039
260,55.455
261,54.667
262,53.185
263,51.172
264,48.667
265,47.797
266,47.287
267,46.388
268,43.690
269,41.134
270,39.020
271,37.532
272,34.924
273,32.543
274,30.333
275,29.436
276,29.668
277,30.227
278,32.491
279,36.651
280,41.442
281,45.802
282,49.663
283,53.507
284,57.409
285,61.333
286,64.333
287,66.457
288,69.000
289,71.947
290,74.569
291,76.911
292,79.214
293,80.227
294,82.000
295,84.640
296,87.956
297,90.947
298,92.667
299,94.000
300,95.009
301,96.667
302,94.667
303,92.333
304,90.347
305,89.720
306,90.400
307,89.000
308,84.667
309,80.560
310,73.547
311,69.245
312,66.764
313,66.333
314,67.667
315,67.814
316,65.534
317,62.525
318,61.301
319,62.732
320,65.007
321,68.865
322,72.760
323,75.179
324,74.898
325,75.667
326,75.444
327,76.103
328,77.120
329,77.791
330,78.052
331,77.667
332,76.667
333,76.241
334,75.708
335,74.667
336,73.822
337,73.667
338,72.333
339,72.828
340,73.506
341,73.333
342,74.122
343,76.667
344,77.048
345,75.113
346,74.660
347,74.463
348,73.918
349,71.385
350,62.341
351,54.016
352,46.052
353,40.182
354,37.667
355,36.522
356,37.269
357,39.752
358,46.939
359,50.646
360,56.379
361,61.996
362,64.000
363,68.117
364,74.442
365,81.000
366,87.728
367,91.842
368,109.265
369,116.807
370,118.945
371,122.953
372,124.258
373,126.319
374,118.473
375,118.733
376,123.007
377,129.673
378,133.008
379,134.333
380,133.000
381,130.270
382,130.924
383,128.910
384,126.127
385,123.550
386,121.537
387,119.952
388,117.156
389,116.559
390,118.000
391,116.529
392,112.543
393,107.000
394,101.667
395,98.499
396,96.421
397,96.517
398,97.000
399,96.465
400,95.544
401,96.658
402,99.684
403,102.066
404,104.983
405,105.843
406,104.992
407,105.272
408,104.333
409,103.173
410,100.069
411,96.872
412,93.192
413,90.667
414,89.833
415,87.515
416,86.113
417,83.208
418,76.075
419,66.333
420,61.054
421,58.730
422,57.608
423,57.243
424,58.391
425,61.648
426,67.774
427,74.326
428,79.979
429,81.667
430,90.048
431,103.061
432,108.580
433,117.754
434,125.512
435,126.146
436,128.000
437,127.538
438,128.393
439,129.555
440,128.588
441,124.419
442,120.421
443,121.817
444,125.633
445,128.218
446,130.358
447,130.393
448,128.713
449,126.678
450,122.373
451,119.338
452,117.318
453,116.287
454,117.267
455,114.698
456,112.373
457,108.520
458,105.494
459,104.466
460,106.968
461,111.168
462,115.806
463,116.102
464,117.055
465,112.368
466,100.474
467,93.127
468,86.740
469,81.000
470,75.328
471,71.679
472,69.515
473,69.143
474,69.467
475,71.354
476,77.899
477,83.220
478,87.648
479,90.936
480,98.530
481,99.491
482,107.523
483,108.163
484,110.848
485,108.368
486,111.750
487,109.371
488,112.475
489,113.828
490,107.023
491,97.525
492,88.821
493,80.449
494,75.145
495,66.333
496,60.591
497,59.946
498,61.854
499,67.192
500,75.104
501,79.851
502,86.004
503,105.895
504,120.636
505,122.297
506,122.759
507,126.967
508,135.171
509,141.311
510,148.147
511,150.054
512,151.673
513,153.362
514,159.989
515,162.865
516,157.714
517,149.549
518,146.984
519,144.186
520,143.551
521,142.847
522,139.667
523,136.350
524,132.939
525,126.984
526,122.340
527,111.326
528,95.267
529,82.860
530,79.175
531,80.126
532,81.124
533,81.834
534,85.096
535,87.480
536,97.953
537,113.272
538,122.816
539,126.279
540,127.216
541,128.604
542,126.604
543,127.693
544,128.535
545,132.213
546,138.612
547,141.499
548,136.847
549,129.394
550,124.642
551,117.333
552,114.445
