Distance_(pixels),Gray_Value
0,13.000
1,13.000
2,14.000
3,14.000
4,14.908
5,14.000
6,14.000
7,13.000
8,14.000
9,13.000
10,13.000
11,13.000
12,14.000
13,14.000
14,14.000
15,13.000
16,13.333
17,12.333
18,12.333
19,13.333
20,14.333
21,13.333
22,13.333
23,12.333
24,12.000
25,12.000
26,12.000
27,12.000
28,12.000
29,12.000
30,12.000
31,12.000
32,11.000
33,12.000
34,12.000
35,13.000
36,13.000
37,12.000
38,12.000
39,11.000
40,12.333
41,12.333
42,13.333
43,13.327
44,12.350
45,12.333
46,13.333
47,13.333
48,13.442
49,13.465
50,14.333
51,14.333
52,13.535
53,13.333
54,12.581
55,12.333
56,11.294
57,12.000
58,12.333
59,13.333
60,13.333
61,14.333
62,14.667
63,14.667
64,15.000
65,15.502
66,16.000
67,16.000
68,16.571
69,17.000
70,17.206
71,17.213
72,18.667
73,19.353
74,19.376
75,20.399
76,20.422
77,20.446
78,19.469
79,19.767
80,20.798
81,21.162
82,20.298
83,20.223
84,20.254
85,20.297
86,19.333
87,19.347
88,19.711
89,20.685
90,20.772
91,20.803
92,19.834
93,19.013
94,19.067
95,19.121
96,19.175
97,19.482
98,19.616
99,19.670
100,19.724
101,19.111
102,18.832
103,18.886
104,19.667
105,20.092
106,20.667
107,21.139
108,20.162
109,19.506
110,19.514
111,19.333
112,19.333
113,19.204
114,19.000
115,19.000
116,18.000
117,18.000
118,17.667
119,17.916
120,18.667
121,18.667
122,18.667
123,18.667
124,19.667
125,19.667
126,19.667
127,19.667
128,20.624
129,19.647
130,18.670
131,18.693
132,18.716
133,18.667
134,17.762
135,17.667
136,16.142
137,18.000
138,17.667
139,19.000
140,21.099
141,20.914
142,22.000
143,26.667
144,27.667
145,32.333
146,34.373
147,37.000
148,40.333
149,42.000
150,44.333
151,47.667
152,48.000
153,48.667
154,48.667
155,49.086
156,49.667
157,49.667
158,49.667
159,50.340
160,50.363
161,49.386
162,47.743
163,46.766
164,45.859
165,45.083
166,44.557
167,43.572
168,43.960
169,43.635
170,43.570
171,43.601
172,43.631
173,43.996
174,44.020
175,45.014
176,46.000
177,46.149
178,46.779
179,47.847
180,50.878
181,55.061
182,55.864
183,54.848
184,52.165
185,50.635
186,50.703
187,52.000
188,54.000
189,53.399
190,50.112
191,46.825
192,44.436
193,41.278
194,38.803
195,38.000
196,38.176
197,36.000
198,34.716
199,34.597
200,31.333
201,30.142
202,29.000
203,28.057
204,27.620
205,27.597
206,26.908
207,27.739
208,28.065
209,28.333
210,28.333
211,29.333
212,31.231
213,32.333
214,34.277
215,35.300
216,34.657
217,35.013
218,36.333
219,36.333
220,36.333
221,36.439
222,36.462
223,36.485
224,37.000
225,37.198
226,37.554
227,37.333
228,37.333
229,37.333
230,38.229
231,39.109
232,39.760
233,39.745
234,41.000
235,42.000
236,42.667
237,42.667
238,41.333
239,39.812
240,36.333
241,34.901
242,32.924
243,31.000
244,30.667
245,30.667
246,31.350
247,31.746
248,32.188
249,35.010
250,36.102
251,36.331
252,35.370
253,33.512
254,34.088
255,38.703
256,42.419
257,47.063
258,50.667
259,51.028
260,52.667
261,53.020
262,55.631
263,59.257
264,61.300
265,63.211
266,66.855
267,68.498
268,68.809
269,67.857
270,67.175
271,66.580
272,64.523
273,64.102
274,63.883
275,64.686
276,64.710
277,65.132
278,64.601
279,64.967
280,64.469
281,62.492
